"Ethnicity","Age Bracket","%","Number (thousands)"
"All","16-24","99.2","6,873"
"All","25-34","99.4","8,889"
"All","35-44","98.9","8,238"
"All","45-54","97.5","8,801"
"All","55-64","93.2","7,490"
"All","65-74","83.2","5,336"
"All","75+","46.8","2,471"
"Asian","16-24","99.4","602"
"Asian","25-34","99.1","735"
"Asian","35-44","98.4","864"
"Asian","45-54","94.3","510"
"Asian","55-64","83.6","231"
"Asian","65-74","64.8","99"
"Asian","75+","29.9","42"
"Black","16-24","98.5","270"
"Black","25-34","99.6","303"
"Black","35-44","98.0","290"
"Black","45-54","96.0","271"
"Black","55-64","94.5","179"
"Black","65-74","?","?"
"Black","75+","?","?"
"White","16-24","99.2","5,681"
"White","25-34","99.4","7,495"
"White","35-44","99.1","6,767"
"White","45-54","97.9","7,811"
"White","55-64","93.5","6,976"
"White","65-74","83.8","5,176"
"White","75+","47.6","2,391"
"Other inc Mixed","16-24","99.1","321"
"Other inc Mixed","25-34","99.2","357"
"Other inc Mixed","35-44","96.4","317"
"Other inc Mixed","45-54","93.0","209"
"Other inc Mixed","55-64","95.2","105"
"Other inc Mixed","65-74","?","?"
"Other inc Mixed","75+","?","?"
