"Measure ","Time","Time_type","Ethnicity","Ethnicity_type","Number","Percentage"
"Used the internet in the last 3 months","2013","Year"," White ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","37,585","82.9"
"Used the internet in the last 3 months","2013","Year"," Mixed/multiple ethnic background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","406","95.1"
"Used the internet in the last 3 months","2013","Year"," Indian ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","954","84.2"
"Used the internet in the last 3 months","2013","Year"," Pakistani ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","593","79.5"
"Used the internet in the last 3 months","2013","Year"," Bangladeshi ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","213","82.5"
"Used the internet in the last 3 months","2013","Year"," Chinese ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","250","93.6"
"Used the internet in the last 3 months","2013","Year"," Other Asian background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","465","91.3"
"Used the internet in the last 3 months","2013","Year"," Black/African/Caribbean/Black British ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,098","86.2"
"Used the internet in the last 3 months","2013","Year"," Other ethnic group ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","655","87.9"
"Used the internet in the last 3 months","2014","Year"," White ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","38,601","84.7"
"Used the internet in the last 3 months","2014","Year"," Mixed/multiple ethnic background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","471","95.2"
"Used the internet in the last 3 months","2014","Year"," Indian ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,025","85.8"
"Used the internet in the last 3 months","2014","Year"," Pakistani ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","653","79.2"
"Used the internet in the last 3 months","2014","Year"," Bangladeshi ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","239","86.9"
