"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2019","Year","White","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.5","90.2","90.8","42296","42153","42438",""
"Used the internet in the last 3 months","2019","Year","Mixed/Multiple ethnic groups","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","96.0","94.0","98.1","547","535","559",""
"Used the internet in the last 3 months","2019","Year","Indian","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.4","88.3","92.6","1077","1052","1103",""
"Used the internet in the last 3 months","2019","Year","Pakistani","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","91.1","88.7","93.5","767","747","787",""
"Used the internet in the last 3 months","2019","Year","Bangladeshi","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","91.9","88.2","95.6","354","340","368",""
"Used the internet in the last 3 months","2019","Year","Chinese","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","98.6","96.9","100","265","260","269",""
"Used the internet in the last 3 months","2019","Year","Any other Asian background","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","95.6","93.6","97.6","620","607","633",""
"Used the internet in the last 3 months","2019","Year","Black/African/Caribbean/Black British","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.8","91.0","94.5","1376","1351","1402",""
"Used the internet in the last 3 months","2019","Year","Other ethnic group","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","94.5","92.4","96.5","796","779","813",""
"Used the internet in the last 3 months","2018","Year","White","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","89.3","89.0","89.6","41825","41678","41973",""
"Used the internet in the last 3 months","2018","Year","Mixed/Multiple ethnic groups","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","97.9","96.3","99.4","510","502","518",""
"Used the internet in the last 3 months","2018","Year","Indian","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.7","90.8","94.5","1087","1066","1108",""
"Used the internet in the last 3 months","2018","Year","Pakistani","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.8","90.7","94.9","779","761","796",""
"Used the internet in the last 3 months","2018","Year","Bangladeshi","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.7","86.8","94.6","320","306","333",""
"Used the internet in the last 3 months","2018","Year","Chinese","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","97.6","95.5","99.7","303","296","309",""
"Used the internet in the last 3 months","2018","Year","Any other Asian background","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","96.4","94.5","98.2","576","565","587",""
"Used the internet in the last 3 months","2018","Year","Black/African/Caribbean/Black British","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","91.2","89.4","93","1352","1325","1378",""
"Used the internet in the last 3 months","2018","Year","Other ethnic group","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","95.4","93.6","97.2","784","769","798",""
"Used the internet in the last 3 months","2017","Year","White","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","88.4","88.1","88.7","40885","40745","41025",""
"Used the internet in the last 3 months","2017","Year","Mixed/Multiple ethnic groups","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","96.2","94.5","97.9","591","581","602",""
"Used the internet in the last 3 months","2017","Year","Indian","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.6","88.9","92.4","1094","1073","1115",""
"Used the internet in the last 3 months","2017","Year","Pakistani","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.3","88.2","92.4","759","741","777",""
"Used the internet in the last 3 months","2017","Year","Bangladeshi","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","87.0","83.2","90.9","316","302","330",""
"Used the internet in the last 3 months","2017","Year","Chinese","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","98.3","96.5","100","275","270","280",""
"Used the internet in the last 3 months","2017","Year","Any other Asian background","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","93.1","90.9","95.2","562","549","575",""
"Used the internet in the last 3 months","2017","Year","Black/African/Caribbean/Black British","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.1","90.6","93.6","1394","1371","1417",""
"Used the internet in the last 3 months","2017","Year","Other ethnic group","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","94.1","92.4","95.8","838","822","853",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","16+","88.9","88.6","89.2","46,714","46,566","46,861",""
"Used the internet in the last 3 months","2017","Year","All","All","North East","Region","16+","85","83.4","86.6","1,817","1,783","1,851",""
"Used the internet in the last 3 months","2017","Year","All","All","North West","Region","16+","88.1","87.2","89","5,071","5,021","5,121",""
"Used the internet in the last 3 months","2017","Year","All","All","Yorkshire and the Humber","Region","16+","86.8","85.8","87.8","3,765","3,721","3,809",""
"Used the internet in the last 3 months","2017","Year","All","All","East Midlands","Region","16+","87.8","86.7","88.9","3,326","3,285","3,366",""
"Used the internet in the last 3 months","2017","Year","All","All","West Midlands","Region","16+","86.4","85.4","87.5","3,974","3,927","4,022",""
"Used the internet in the last 3 months","2017","Year","All","All","East of England","Region","16+","90.3","89.5","91.2","4,427","4,385","4,469",""
"Used the internet in the last 3 months","2017","Year","All","All","London","Region","16+","92.7","92","93.4","6,497","6,447","6,548",""
