"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","3,510","2.1",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","2,560","1.5",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","1,770","1.1",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","1,520","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","1,060","0.6",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","157,270","94.6",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","4,210","2.2",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","2,820","1.5",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","2,260","1.2",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","1,460","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","670","0.3",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","182,140","94.8",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","4,660","2.5",""
