"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local Authority","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%"
"Barking and Dagenham","0","0.00","3","0.03","0","0.00","3","0.09","11","0.07","2","0.27"
"Barnet","1","0.01","5","0.08","0","0.00","5","0.08","12","0.04","6","0.10"
"Barnsley","0","0.00","0","0.00","0","0.00","1","0.13","44","0.14","0","0.00"
"Bath and North East Somerset","0","0.00","3","1.32","0","0.00","3","0.22","23","0.10","0","0.00"
"Bedford","5","0.11","10","0.62","0","0.00","12","0.43","27","0.14","0","0.00"
"Bexley","1","0.03","6","0.08","1","0.17","4","0.13","41","0.15","1","0.17"
"Birmingham","34","0.05","46","0.19","0","0.00","33","0.20","99","0.14","6","0.06"
"Blackburn with Darwen","1","0.01","0","0.00","0","0.00","1","0.11","7","0.05","0","0.00"
"Blackpool","0","0.00","0","0.00","0","0.00","3","0.50","39","0.22","0","0.00"
"Bolton","4","0.03","2","0.07","0","0.00","4","0.20","67","0.21","0","0.00"
"Bournemouth","1","0.12","0","0.00","0","0.00","8","0.51","42","0.21","0","0.00"
"Bracknell Forest","0","0.00","1","0.19","0","0.00","0","0.00","15","0.10","0","0.00"
"Bradford","9","0.02","0","0.00","0","0.00","1","0.02","15","0.03","0","0.00"
"Brent","4","0.03","15","0.14","0","0.00","1","0.03","3","0.03","4","0.08"
"Brighton and Hove","0","0.00","0","0.00","0","0.00","2","0.06","9","0.04","0","0.00"
"Bristol City of","0","0.00","4","0.06","0","0.00","2","0.04","8","0.02","0","0.00"
"Bromley","1","0.03","7","0.14","0","0.00","7","0.13","41","0.12","1","0.15"
"Buckinghamshire","7","0.05","3","0.14","0","0.00","8","0.13","46","0.08","1","0.19"
"Bury","4","0.09","3","0.42","0","0.00","3","0.22","45","0.20","1","0.28"
"Calderdale","2","0.03","1","0.32","0","0.00","1","0.07","38","0.14","0","0.00"
"Cambridgeshire","0","0.00","1","0.10","0","0.00","0","0.00","6","0.01","0","0.00"
"Camden","2","0.05","2","0.05","0","0.00","4","0.15","11","0.13","2","0.14"
"Central Bedfordshire","1","0.09","3","0.28","0","0.00","7","0.27","44","0.11","0","0.00"
"Cheshire East","1","0.11","1","0.45","0","0.00","4","0.22","36","0.07","0","0.00"
"Cheshire West and Chester","0","0.00","1","0.49","0","0.00","1","0.08","22","0.05","0","0.00"
"City of London","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Cornwall","0","0.00","1","1.69","0","0.00","0","0.00","71","0.10","0","0.00"
"Coventry","0","0.00","8","0.13","0","0.00","11","0.30","50","0.15","1","0.11"
"Croydon","4","0.04","18","0.11","0","0.00","7","0.08","6","0.03","0","0.00"
"Cumbria","0","0.00","0","0.00","0","0.00","3","0.28","85","0.13","0","0.00"
"Darlington","0","0.00","0","0.00","0","0.00","0","0.00","10","0.07","0","0.00"
"Derby","7","0.09","4","0.25","0","0.00","11","0.35","41","0.15","0","0.00"
"Derbyshire","0","0.00","1","0.27","0","0.00","7","0.24","168","0.17","0","0.00"
"Devon","0","0.00","0","0.00","0","0.00","5","0.23","96","0.10","1","0.13"
"Doncaster","1","0.07","1","0.18","0","0.00","1","0.07","38","0.09","0","0.00"
