"Ethnicity","Local Authority","Number","%"
"Asian","Barking and Dagenham","0","0.00"
"Asian","Barnet","1","0.01"
"Asian","Barnsley","0","0.00"
"Asian","Bath and North East Somerset","0","0.00"
"Asian","Bedford","5","0.11"
"Asian","Bexley","1","0.03"
"Asian","Birmingham","34","0.05"
"Asian","Blackburn with Darwen","1","0.01"
"Asian","Blackpool","0","0.00"
"Asian","Bolton","4","0.03"
"Asian","Bournemouth","1","0.12"
"Asian","Bracknell Forest","0","0.00"
"Asian","Bradford","9","0.02"
"Asian","Brent","4","0.03"
"Asian","Brighton and Hove","0","0.00"
"Asian","Bristol City of","0","0.00"
"Asian","Bromley","1","0.03"
"Asian","Buckinghamshire","7","0.05"
"Asian","Bury","4","0.09"
"Asian","Calderdale","2","0.03"
"Asian","Cambridgeshire","0","0.00"
"Asian","Camden","2","0.05"
"Asian","Central Bedfordshire","1","0.09"
"Asian","Cheshire East","1","0.11"
"Asian","Cheshire West and Chester","0","0.00"
"Asian","City of London","0","0.00"
"Asian","Cornwall","0","0.00"
"Asian","Coventry","0","0.00"
"Asian","Croydon","4","0.04"
"Asian","Cumbria","0","0.00"
"Asian","Darlington","0","0.00"
"Asian","Derby","7","0.09"
"Asian","Derbyshire","0","0.00"
"Asian","Devon","0","0.00"
"Asian","Doncaster","1","0.07"
"Asian","Dorset","0","0.00"
"Asian","Dudley","4","0.08"
"Asian","Durham","0","0.00"
"Asian","Ealing","12","0.08"
"Asian","East Riding of Yorkshire","0","0.00"
"Asian","East Sussex","0","0.00"
"Asian","Enfield","4","0.08"
"Asian","Essex","1","0.02"
"Asian","Gateshead","1","0.14"
"Asian","Gloucestershire","1","0.04"
"Asian","Greenwich","1","0.03"
"Asian","Hackney","2","0.05"
"Asian","Halton","0","0.00"
"Asian","Hammersmith and Fulham","1","0.07"
"Asian","Hampshire","1","0.02"
"Asian","Haringey","0","0.00"
"Asian","Harrow","8","0.05"
"Asian","Hartlepool","0","0.00"
"Asian","Havering","1","0.04"
"Asian","Herefordshire","0","0.00"
"Asian","Hertfordshire","5","0.03"
"Asian","Hillingdon","3","0.02"
"Asian","Hounslow","8","0.06"
"Asian","Isle of Wight","0","0.00"
"Asian","Isles Of Scilly","0","0.00"
"Asian","Islington","2","0.09"
"Asian","Kensington and Chelsea","0","0.00"
"Asian","Kent","0","0.00"
"Asian","Kingston upon Hull City of","0","0.00"
"Asian","Kingston upon Thames","2","0.04"
"Asian","Kirklees","3","0.02"
"Asian","Knowsley","0","0.00"
"Asian","Lambeth","0","0.00"
"Asian","Lancashire","19","0.10"
"Asian","Leeds","0","0.00"
"Asian","Leicester","7","0.03"
"Asian","Leicestershire","0","0.00"
"Asian","Lewisham","1","0.04"
"Asian","Lincolnshire","0","0.00"
"Asian","Liverpool","3","0.10"
"Asian","Luton","17","0.10"
"Asian","Manchester","10","0.05"
"Asian","Medway","0","0.00"
"Asian","Merton","1","0.02"
"Asian","Middlesbrough","0","0.00"
"Asian","Milton Keynes","0","0.00"
"Asian","Newcastle upon Tyne","5","0.10"
"Asian","Newham","11","0.04"
"Asian","Norfolk","0","0.00"
"Asian","North East Lincolnshire","0","0.00"
"Asian","North Lincolnshire","1","0.11"
"Asian","North Somerset","1","0.27"
"Asian","North Tyneside","0","0.00"
"Asian","North Yorkshire","1","0.07"
"Asian","Northamptonshire","0","0.00"
"Asian","Northumberland","0","0.00"
"Asian","Nottingham","3","0.04"
"Asian","Nottinghamshire","0","0.00"
"Asian","Oldham","22","0.15"
"Asian","Oxfordshire","2","0.04"
"Asian","Peterborough","3","0.05"
"Asian","Plymouth","1","0.24"
"Asian","Poole","0","0.00"
"Asian","Portsmouth","0","0.00"
"Asian","Reading","1","0.02"
"Asian","Redbridge","14","0.05"
"Asian","Redcar and Cleveland","0","0.00"
"Asian","Richmond upon Thames","0","0.00"
"Asian","Rochdale","5","0.06"
"Asian","Rotherham","2","0.06"
"Asian","Rutland","0","0.00"
"Asian","Salford","1","0.09"
"Asian","Sandwell","7","0.04"
"Asian","Sefton","0","0.00"
"Asian","Sheffield","8","0.08"
"Asian","Shropshire","0","0.00"
"Asian","Slough","2","0.01"
"Asian","Solihull","4","0.09"
"Asian","Somerset","0","0.00"
"Asian","South Gloucestershire","0","0.00"
"Asian","South Tyneside","0","0.00"
"Asian","Southampton","0","0.00"
"Asian","Southend-on-Sea","0","0.00"
"Asian","Southwark","0","0.00"
"Asian","St. Helens","0","0.00"
"Asian","Staffordshire","6","0.12"
"Asian","Stockport","2","0.07"
"Asian","Stockton-on-Tees","0","0.00"
"Asian","Stoke-on-Trent","4","0.07"
"Asian","Suffolk","1","0.05"
"Asian","Sunderland","2","0.12"
"Asian","Surrey","1","0.01"
"Asian","Sutton","2","0.03"
"Asian","Swindon","1","0.03"
"Asian","Tameside","6","0.15"
"Asian","Telford and Wrekin","0","0.00"
"Asian","Thurrock","1","0.07"
"Asian","Torbay","0","0.00"
"Asian","Tower Hamlets","3","0.01"
"Asian","Trafford","4","0.07"
"Asian","Wakefield","2","0.10"
"Asian","Walsall","6","0.05"
"Asian","Waltham Forest","2","0.02"
"Asian","Wandsworth","1","0.02"
"Asian","Warrington","0","0.00"
"Asian","Warwickshire","1","0.02"
"Asian","West Berkshire","2","0.22"
"Asian","West Sussex","2","0.04"
"Asian","Westminster","1","0.03"
"Asian","Wigan","0","0.00"
"Asian","Wiltshire","0","0.00"
"Asian","Windsor and Maidenhead","0","0.00"
"Asian","Wirral","0","0.00"
"Asian","Wokingham","2","0.06"
"Asian","Wolverhampton","6","0.06"
"Asian","Worcestershire","1","0.03"
"Asian","York","0","0.00"
"Black","Barking and Dagenham","3","0.03"
"Black","Barnet","5","0.08"
"Black","Barnsley","0","0.00"
"Black","Bath and North East Somerset","3","1.32"
"Black","Bedford","10","0.62"
"Black","Bexley","6","0.08"
"Black","Birmingham","46","0.19"
"Black","Blackburn with Darwen","0","0.00"
"Black","Blackpool","0","0.00"
"Black","Bolton","2","0.07"
"Black","Bournemouth","0","0.00"
"Black","Bracknell Forest","1","0.19"
"Black","Bradford","0","0.00"
"Black","Brent","15","0.14"
"Black","Brighton and Hove","0","0.00"
"Black","Bristol City of","4","0.06"
"Black","Bromley","7","0.14"
"Black","Buckinghamshire","3","0.14"
