"Type of school","Ethnicity","%","Number"
"State-funded primary","Asian","0.00","18"
"State-funded primary","Bangladeshi","0.00","1"
"State-funded primary","Indian","0.00","1"
"State-funded primary","Pakistani","0.01","12"
"State-funded primary","Asian other","0.00","4"
"State-funded primary","Black","0.03","72"
"State-funded primary","Black African","0.02","27"
"State-funded primary","Black Caribbean","0.08","38"
"State-funded primary","Black other","0.02","7"
"State-funded primary","Chinese","0.00","0"
"State-funded primary","Mixed","0.05","132"
"State-funded primary","Mixed White/Asian","0.02","11"
"State-funded primary","Mixed White/Black African","0.04","16"
"State-funded primary","Mixed White/Black Caribbean","0.09","67"
"State-funded primary","Mixed other","0.04","38"
"State-funded primary","White","0.03","974"
"State-funded primary","White British","0.03","917"
"State-funded primary","White Irish","0.04","5"
"State-funded primary","Gypsy/Roma","0.10","18"
"State-funded primary","Irish Traveller","0.15","7"
"State-funded primary","White other","0.01","27"
"State-funded primary","Other","0.01","7"
"State-funded primary","Unknown","0.02","7"
"State-funded secondary","Asian","0.09","336"
"State-funded secondary","Bangladeshi","0.09","55"
"State-funded secondary","Indian","0.04","41"
"State-funded secondary","Pakistani","0.14","193"
"State-funded secondary","Asian other","0.08","47"
"State-funded secondary","Black","0.27","508"
"State-funded secondary","Black African","0.18","225"
"State-funded secondary","Black Caribbean","0.50","212"
"State-funded secondary","Black other","0.30","71"
"State-funded secondary","Chinese","0.02","3"
"State-funded secondary","Mixed","0.36","606"
"State-funded secondary","Mixed White/Asian","0.21","84"
"State-funded secondary","Mixed White/Black African","0.32","69"
"State-funded secondary","Mixed White/Black Caribbean","0.58","268"
"State-funded secondary","Mixed other","0.30","185"
"State-funded secondary","White","0.20","4,912"
"State-funded secondary","White British","0.20","4,542"
"State-funded secondary","White Irish","0.28","29"
"State-funded secondary","Gypsy/Roma","0.96","77"
"State-funded secondary","Irish Traveller","0.88","10"
"State-funded secondary","White other","0.15","254"
"State-funded secondary","Other","0.15","88"
"State-funded secondary","Unknown","0.32","159"
"Special","Asian","0.06","7"
"Special","Bangladeshi","0.15","3"
"Special","Indian","0.05","1"
"Special","Pakistani","0.04","2"
"Special","Asian other","0.05","1"
"Special","Black","0.10","8"
"Special","Black African","0.08","4"
"Special","Black Caribbean","0.06","1"
"Special","Black other","0.24","3"
"Special","Chinese","0.00","0"
"Special","Mixed","0.10","7"
"Special","Mixed White/Asian","0.00","0"
"Special","Mixed White/Black African","0.11","1"
"Special","Mixed White/Black Caribbean","0.05","1"
"Special","Mixed other","0.19","5"
"Special","White","0.07","59"
"Special","White British","0.07","58"
"Special","White Irish","0.00","0"
"Special","Gypsy/Roma","0.00","0"
"Special","Irish Traveller","0.00","0"
"Special","White other","0.02","1"
"Special","Other","0.05","1"
"Special","Unknown","0.06","1"
