"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Academic year","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"2006/07","0.12","8,658","0.07","341","0.23","643","0.00","1","0.23","506","0.12","6,769","0.07","49"
"2007/08","0.11","8,126","0.06","307","0.24","696","0.01","3","0.20","458","0.12","6,356","0.10","79"
"2008/09","0.09","6,541","0.05","287","0.18","537","0.01","3","0.15","361","0.09","5,000","0.09","72"
"2009/10","0.08","5,732","0.04","245","0.19","599","0.01","2","0.15","385","0.08","4,322","0.06","56"
"2010/11","0.07","5,082","0.04","211","0.14","443","0.00","0","0.13","362","0.07","3,853","0.05","47"
"2011/12","0.07","5,166","0.03","216","0.12","420","0.01","3","0.13","366","0.08","3,981","0.06","55"
"2012/13","0.06","4,632","0.03","212","0.11","397","0.02","5","0.11","346","0.07","3,524","0.06","58"
"2013/14","0.06","4,949","0.03","197","0.12","433","0.01","2","0.11","350","0.07","3,804","0.05","49"
"2014/15","0.07","5,795","0.03","240","0.12","464","0.01","2","0.12","428","0.09","4,452","0.07","76"
"2015/16","0.08","6,684","0.04","314","0.14","540","0.01","3","0.14","521","0.10","5,056","0.07","89"
"2016/17","0.10","7,719","0.04","310","0.14","619","0.01","2","0.14","635","0.10","5,897","0.07","100"
"2017/18","0.10","7,905","0.04","361","0.13","588","0.01","3","0.16","745","0.10","5,945","0.06","96"
