"Ethnicity","Academic year","%","Number"
"All","2006/07","0.12","8,658"
"All","2007/08","0.11","8,126"
"All","2008/09","0.09","6,541"
"All","2009/10","0.08","5,732"
"All","2010/11","0.07","5,082"
"All","2011/12","0.07","5,166"
"All","2012/13","0.06","4,632"
"All","2013/14","0.06","4,949"
"All","2014/15","0.07","5,795"
"All","2015/16","0.08","6,684"
"All","2016/17","0.10","7,719"
"All","2017/18","0.10","7,905"
"Asian","2006/07","0.07","341"
"Asian","2007/08","0.06","307"
"Asian","2008/09","0.05","287"
"Asian","2009/10","0.04","245"
"Asian","2010/11","0.04","211"
"Asian","2011/12","0.03","216"
"Asian","2012/13","0.03","212"
"Asian","2013/14","0.03","197"
"Asian","2014/15","0.03","240"
"Asian","2015/16","0.04","314"
"Asian","2016/17","0.04","310"
"Asian","2017/18","0.04","361"
"Black","2006/07","0.23","643"
"Black","2007/08","0.24","696"
"Black","2008/09","0.18","537"
"Black","2009/10","0.19","599"
"Black","2010/11","0.14","443"
"Black","2011/12","0.12","420"
"Black","2012/13","0.11","397"
"Black","2013/14","0.12","433"
"Black","2014/15","0.12","464"
"Black","2015/16","0.14","540"
"Black","2016/17","0.14","619"
"Black","2017/18","0.13","588"
"Chinese","2006/07","0.00","1"
"Chinese","2007/08","0.01","3"
"Chinese","2008/09","0.01","3"
"Chinese","2009/10","0.01","2"
"Chinese","2010/11","0.00","0"
"Chinese","2011/12","0.01","3"
"Chinese","2012/13","0.02","5"
"Chinese","2013/14","0.01","2"
"Chinese","2014/15","0.01","2"
"Chinese","2015/16","0.01","3"
"Chinese","2016/17","0.01","2"
"Chinese","2017/18","0.01","3"
"Mixed","2006/07","0.23","506"
"Mixed","2007/08","0.20","458"
"Mixed","2008/09","0.15","361"
"Mixed","2009/10","0.15","385"
"Mixed","2010/11","0.13","362"
"Mixed","2011/12","0.13","366"
"Mixed","2012/13","0.11","346"
"Mixed","2013/14","0.11","350"
"Mixed","2014/15","0.12","428"
"Mixed","2015/16","0.14","521"
"Mixed","2016/17","0.14","635"
"Mixed","2017/18","0.16","745"
"White","2006/07","0.12","6,769"
"White","2007/08","0.12","6,356"
"White","2008/09","0.09","5,000"
"White","2009/10","0.08","4,322"
"White","2010/11","0.07","3,853"
"White","2011/12","0.08","3,981"
"White","2012/13","0.07","3,524"
"White","2013/14","0.07","3,804"
"White","2014/15","0.09","4,452"
"White","2015/16","0.10","5,056"
"White","2016/17","0.10","5,897"
"White","2017/18","0.10","5,945"
"Other","2006/07","0.07","49"
"Other","2007/08","0.10","79"
"Other","2008/09","0.09","72"
"Other","2009/10","0.06","56"
"Other","2010/11","0.05","47"
"Other","2011/12","0.06","55"
"Other","2012/13","0.06","58"
"Other","2013/14","0.05","49"
"Other","2014/15","0.07","76"
"Other","2015/16","0.07","89"
"Other","2016/17","0.07","100"
"Other","2017/18","0.06","96"
