"Measure","Time","Time_Type","Local_Authority_code","Local_Authority_name","Type of school","Ethnicity","Ethnicity_type","Value","Numerator","Denominator"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","White","ONS 5+1","0","0","108"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","White British","ONS 18+1","0","0","72"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","White other","ONS 18+1","0","0","36"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Mixed","ONS 5+1","14.29","6","42"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Mixed White/Black Caribbean","ONS 18+1","120","6","5"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Mixed White/Black African","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Mixed White/Asian","ONS 18+1","0","0","7"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Mixed other","ONS 18+1","0","0","29"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Asian","ONS 5+1","0","0","100"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Indian","ONS 18+1","0","0","9"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Pakistani","ONS 18+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Bangladeshi","ONS 18+1","0","0","87"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Asian other","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Black","ONS 5+1","0","0","10"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Black Caribbean","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Black African","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Black other","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Chinese","ONS 5+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","Other","ONS 5+1","0","0","21"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","Total","All Ethnic Minorities","ONS 18+1","2.83","6","212"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","White","ONS 5+1","0","0","108"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","White British","ONS 18+1","0","0","72"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","White other","ONS 18+1","0","0","36"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Mixed","ONS 5+1","14.29","6","42"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Mixed White/Black Caribbean","ONS 18+1","120","6","5"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Mixed White/Black African","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Mixed White/Asian","ONS 18+1","0","0","7"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Mixed other","ONS 18+1","0","0","29"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Asian","ONS 5+1","0","0","100"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Indian","ONS 18+1","0","0","9"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Pakistani","ONS 18+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Bangladeshi","ONS 18+1","0","0","87"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Asian other","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Black","ONS 5+1","0","0","10"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Black Caribbean","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Black African","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Black other","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Chinese","ONS 5+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","Other","ONS 5+1","0","0","21"
"Fixed period exclusions","2017/18","Academic Year","E09000001","City of London","State-funded primary","All Ethnic Minorities","ONS 18+1","2.83","6","212"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","White","ONS 5+1","4.64","407","8776"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","White British","ONS 18+1","6.04","303","5016"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","White Irish","ONS 18+1","8.21","17","207"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Irish Traveller","ONS 18+1","18.75","6","32"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Gypsy/Roma","ONS 18+1","88.89","8","9"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","White other","ONS 18+1","2.08","73","3512"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Mixed","ONS 5+1","7.01","192","2737"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Mixed White/Black Caribbean","ONS 18+1","11.21","73","651"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Mixed White/Black African","ONS 18+1","7.35","28","381"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Mixed White/Asian","ONS 18+1","3.71","16","431"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Mixed other","ONS 18+1","5.89","75","1274"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Asian","ONS 5+1","2.95","127","4300"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Indian","ONS 18+1","0.6","1","168"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Pakistani","ONS 18+1","1.7","4","235"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Bangladeshi","ONS 18+1","3.69","120","3249"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Asian other","ONS 18+1","0.31","2","648"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Black","ONS 5+1","8.18","359","4388"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Black Caribbean","ONS 18+1","20.39","114","559"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Black African","ONS 18+1","6.61","233","3527"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Black other","ONS 18+1","3.97","12","302"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Chinese","ONS 5+1","0","0","174"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Other","ONS 5+1","5.62","83","1477"
