"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Type of school","Value","Numerator","Denominator"
"Permanent exclusions","2017/18","Academic Year","Total","ONS 5+1","England","Total","0.0976801","7905","8092747"
"Permanent exclusions","2017/18","Academic Year","White","ONS 5+1","England","Total","0.0992551","5945","5989615"
"Permanent exclusions","2017/18","Academic Year","White British","ONS 18+1","England","Total","0.101778","5517","5420597"
"Permanent exclusions","2017/18","Academic Year","White Irish","ONS 18+1","England","Total","0.148271","34","22931"
"Permanent exclusions","2017/18","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.28663","17","5931"
"Permanent exclusions","2017/18","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.360012","95","26388"
"Permanent exclusions","2017/18","Academic Year","White other","ONS 18+1","England","Total","0.0548886","282","513768"
"Permanent exclusions","2017/18","Academic Year","Mixed","ONS 5+1","England","Total","0.159202","745","467959"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.274799","336","122271"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.136786","86","62872"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.0857362","95","110805"
"Permanent exclusions","2017/18","Academic Year","Mixed other","ONS 18+1","England","Total","0.13255","228","172011"
"Permanent exclusions","2017/18","Academic Year","Asian","ONS 5+1","England","Total","0.0403966","361","893639"
"Permanent exclusions","2017/18","Academic Year","Indian","ONS 18+1","England","Total","0.0174853","43","245921"
"Permanent exclusions","2017/18","Academic Year","Pakistani","ONS 18+1","England","Total","0.0580934","207","356323"
"Permanent exclusions","2017/18","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.0415891","59","141864"
"Permanent exclusions","2017/18","Academic Year","Asian other","ONS 18+1","England","Total","0.0347754","52","149531"
"Permanent exclusions","2017/18","Academic Year","Black","ONS 5+1","England","Total","0.128005","588","459357"
"Permanent exclusions","2017/18","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.278403","251","90157"
"Permanent exclusions","2017/18","Academic Year","Black African","ONS 18+1","England","Total","0.0830948","256","308082"
"Permanent exclusions","2017/18","Academic Year","Black other","ONS 18+1","England","Total","0.132531","81","61118"
"Permanent exclusions","2017/18","Academic Year","Chinese","ONS 5+1","England","Total","0.00836307","3","35872"
"Permanent exclusions","2017/18","Academic Year","Other","ONS 5+1","England","Total","0.0627627","96","152957"
"Permanent exclusions","2017/18","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.0861253","2221","2578802"
"Permanent exclusions","2017/18","Academic Year","Unclassified","ONS 18+1","England","Total","0.1789","167","93348"
