"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local Authority","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%"
"Barking and Dagenham","20","0.20","203","1.70","0","0.00","114","3.26","358","2.17","12","1.64"
"Barnet","72","0.97","350","5.26","4","0.51","235","3.89","739","2.47","153","2.56"
"Barnsley","3","1.52","25","10.82","0","0.00","50","6.58","5,717","17.75","1","0.80"
"Bath and North East Somerset","2","0.50","46","20.18","0","0.00","135","10.07","1,392","5.78","1","0.74"
"Bedford","66","1.52","79","4.93","0","0.00","173","6.22","709","3.76","9","2.47"
"Bexley","28","0.78","248","3.12","6","1.04","188","5.91","1,861","6.78","10","1.71"
"Birmingham","1,716","2.30","1,689","6.82","3","0.29","1,258","7.44","3,273","4.76","301","2.98"
"Blackburn with Darwen","98","0.83","7","2.25","0","0.00","27","3.02","637","4.84","3","1.03"
"Blackpool","4","1.00","4","5.41","0","0.00","65","10.82","1,453","8.30","0","0.00"
"Bolton","187","1.62","108","3.72","3","1.96","129","6.38","2,831","8.80","47","5.05"
"Bournemouth","11","1.31","8","3.67","0","0.00","145","9.31","1,670","8.34","21","6.62"
"Bracknell Forest","7","0.71","17","3.31","1","1.25","61","6.03","934","6.18","1","0.89"
"Bradford","1,375","3.24","87","5.47","0","0.00","299","5.60","2,766","5.90","31","2.24"
"Brent","119","0.84","733","7.02","1","1.01","185","5.37","262","2.20","194","3.71"
"Brighton and Hove","27","2.35","32","4.64","0","0.00","173","5.50","1,397","5.44","34","4.30"
"Bristol City of","110","2.44","569","9.13","1","0.39","566","11.17","3,811","9.26","32","5.61"
"Bromley","19","0.61","241","4.76","1","0.16","197","3.62","1,099","3.17","12","1.81"
"Buckinghamshire","347","2.35","120","5.41","0","0.00","317","5.23","2,012","3.38","11","2.05"
"Bury","128","2.96","34","4.82","2","1.59","168","12.46","1,705","7.61","17","4.72"
"Calderdale","144","2.29","5","1.61","0","0.00","68","4.71","1,065","3.80","4","2.34"
"Cambridgeshire","60","1.86","73","7.27","0","0.00","259","5.81","2,941","3.99","7","0.97"
"Camden","127","2.95","359","8.18","0","0.00","192","7.01","407","4.64","83","5.62"
"Central Bedfordshire","16","1.47","39","3.69","2","1.49","184","7.15","1,500","3.87","7","2.82"
"Cheshire East","10","1.05","14","6.28","0","0.00","64","3.50","3,180","6.44","5","2.03"
"Cheshire West and Chester","1","0.13","2","0.99","0","0.00","35","2.79","1,821","3.91","2","1.13"
"City of London","0","0.00","0","0.00","0","0.00","6","14.29","0","0.00","0","0.00"
"Cornwall","3","1.30","1","1.69","0","0.00","80","4.94","2,455","3.54","4","1.79"
"Coventry","121","1.06","323","5.05","1","0.43","311","8.34","2,359","7.25","22","2.31"
"Croydon","78","0.87","973","6.05","3","0.96","454","5.21","569","2.73","26","2.13"
"Cumbria","7","1.53","7","6.31","0","0.00","48","4.55","3,215","4.91","4","1.87"
"Darlington","2","0.43","1","1.14","0","0.00","24","6.22","882","5.88","8","8.08"
"Derby","177","2.19","86","5.34","0","0.00","243","7.82","1,559","5.54","14","1.83"
"Derbyshire","9","0.78","12","3.25","1","0.33","120","4.13","4,680","4.66","11","4.31"
"Devon","5","0.79","12","6.98","2","0.93","104","4.69","4,359","4.69","19","2.53"
"Doncaster","54","3.75","70","12.61","4","1.97","325","23.45","10,174","23.62","24","5.31"
"Dorset","3","0.61","7","5.26","2","1.43","131","8.19","3,114","5.89","20","13.89"
"Dudley","131","2.65","100","7.84","1","0.82","270","8.47","1,750","4.79","45","5.13"
"Durham","13","2.45","4","2.27","1","0.50","30","2.91","3,408","4.92","3","0.93"
"Ealing","158","1.00","446","5.34","2","0.95","216","4.67","336","2.07","181","2.30"
"East Riding of Yorkshire","3","1.35","4","6.35","0","0.00","33","3.35","1,936","4.47","26","12.26"
"East Sussex","14","1.08","25","5.33","0","0.00","199","6.20","3,806","6.28","7","2.13"
"Enfield","101","2.08","1,179","8.59","4","1.40","366","6.07","1,410","4.97","190","5.77"
"Essex","75","1.28","239","3.64","3","0.36","473","4.75","7,687","4.27","24","1.49"
"Gateshead","10","1.43","21","5.05","0","0.00","39","6.75","1,396","5.45","17","3.23"
"Gloucestershire","41","1.53","74","5.99","1","0.43","383","9.43","3,447","4.46","12","3.82"
"Greenwich","36","0.96","651","4.74","2","0.34","269","5.67","992","5.37","17","1.50"
"Hackney","97","2.27","1,102","9.18","1","0.38","244","6.68","467","3.91","87","4.29"
"Halton","0","0.00","0","0.00","0","0.00","20","4.21","835","4.57","0","0.00"
"Hammersmith and Fulham","29","1.92","344","7.30","1","1.19","160","6.15","349","4.02","100","4.43"
"Hampshire","62","1.18","73","3.56","4","0.68","266","4.06","7,361","4.62","24","2.74"
"Haringey","34","1.49","670","7.33","1","0.27","218","4.99","580","3.12","108","4.36"
"Harrow","160","0.94","264","7.04","0","0.00","114","3.78","211","2.12","90","5.12"
"Hartlepool","4","1.12","4","5.19","0","0.00","13","6.67","4,830","33.53","2","2.99"
"Havering","28","1.00","169","3.71","1","0.47","109","4.16","742","2.65","11","2.88"
"Herefordshire","0","0.00","2","5.13","0","0.00","22","3.67","924","4.11","3","2.50"
"Hertfordshire","192","1.23","389","4.78","4","0.41","729","5.23","6,188","4.12","68","3.71"
"Hillingdon","132","0.91","237","4.33","0","0.00","180","3.06","928","4.31","85","2.14"
"Hounslow","152","1.05","272","5.29","2","1.22","195","5.26","733","5.00","124","2.67"
"Isle of Wight","1","0.78","0","0.00","0","0.00","26","5.39","981","6.18","0","0.00"
"Isles Of Scilly","0","0.00","0","0.00","0","0.00","0","0.00","2","0.77","0","0.00"
"Islington","59","2.73","627","10.67","0","0.00","304","8.01","677","6.41","63","3.74"
"Kensington and Chelsea","23","4.52","237","10.22","0","0.00","116","5.23","190","3.73","145","6.72"
"Kent","83","0.90","262","4.16","7","0.94","437","3.58","9,602","4.83","48","2.39"
"Kingston upon Hull City of","4","0.67","19","2.56","0","0.00","32","2.13","1,103","3.08","17","1.53"
"Kingston upon Thames","49","1.01","43","5.33","1","0.26","98","3.67","243","1.64","15","0.98"
"Kirklees","323","1.73","87","6.55","0","0.00","499","11.42","3,032","7.26","35","5.18"
"Knowsley","3","1.11","2","1.34","0","0.00","15","3.42","796","4.19","9","8.57"
"Lambeth","16","0.89","951","6.19","0","0.00","323","5.91","245","2.05","53","2.76"
"Lancashire","473","2.43","23","3.36","0","0.00","215","3.92","6,569","4.61","6","0.77"
