"Ethnicity","Local Authority","Number","%"
"Asian","Barking and Dagenham","20","0.20"
"Asian","Barnet","72","0.97"
"Asian","Barnsley","3","1.52"
"Asian","Bath and North East Somerset","2","0.50"
"Asian","Bedford","66","1.52"
"Asian","Bexley","28","0.78"
"Asian","Birmingham","1,716","2.30"
"Asian","Blackburn with Darwen","98","0.83"
"Asian","Blackpool","4","1.00"
"Asian","Bolton","187","1.62"
"Asian","Bournemouth","11","1.31"
"Asian","Bracknell Forest","7","0.71"
"Asian","Bradford","1,375","3.24"
"Asian","Brent","119","0.84"
"Asian","Brighton and Hove","27","2.35"
"Asian","Bristol City of","110","2.44"
"Asian","Bromley","19","0.61"
"Asian","Buckinghamshire","347","2.35"
"Asian","Bury","128","2.96"
"Asian","Calderdale","144","2.29"
"Asian","Cambridgeshire","60","1.86"
"Asian","Camden","127","2.95"
"Asian","Central Bedfordshire","16","1.47"
"Asian","Cheshire East","10","1.05"
"Asian","Cheshire West and Chester","1","0.13"
"Asian","City of London","0","0.00"
"Asian","Cornwall","3","1.30"
"Asian","Coventry","121","1.06"
"Asian","Croydon","78","0.87"
"Asian","Cumbria","7","1.53"
"Asian","Darlington","2","0.43"
"Asian","Derby","177","2.19"
"Asian","Derbyshire","9","0.78"
"Asian","Devon","5","0.79"
"Asian","Doncaster","54","3.75"
"Asian","Dorset","3","0.61"
"Asian","Dudley","131","2.65"
"Asian","Durham","13","2.45"
"Asian","Ealing","158","1.00"
"Asian","East Riding of Yorkshire","3","1.35"
"Asian","East Sussex","14","1.08"
"Asian","Enfield","101","2.08"
"Asian","Essex","75","1.28"
"Asian","Gateshead","10","1.43"
"Asian","Gloucestershire","41","1.53"
"Asian","Greenwich","36","0.96"
"Asian","Hackney","97","2.27"
"Asian","Halton","0","0.00"
"Asian","Hammersmith and Fulham","29","1.92"
"Asian","Hampshire","62","1.18"
"Asian","Haringey","34","1.49"
"Asian","Harrow","160","0.94"
"Asian","Hartlepool","4","1.12"
"Asian","Havering","28","1.00"
"Asian","Herefordshire","0","0.00"
"Asian","Hertfordshire","192","1.23"
"Asian","Hillingdon","132","0.91"
"Asian","Hounslow","152","1.05"
"Asian","Isle of Wight","1","0.78"
"Asian","Isles Of Scilly","0","0.00"
"Asian","Islington","59","2.73"
"Asian","Kensington and Chelsea","23","4.52"
"Asian","Kent","83","0.90"
