"","State-funded primary","","State-funded secondary","","Special",""
"Ethnicity","%","Number","%","Number","%","Number"
"Asian","0.25","1,323","3.94","14,198","1.95","226"
"Bangladeshi","0.24","197","4.17","2,468","3.94","77"
"Indian","0.09","133","1.71","1,692","0.65","14"
"Pakistani","0.37","769","5.73","8,140","1.60","88"
"Asian other","0.26","224","3.16","1,898","2.32","47"
"Black","1.57","4,110","10.84","20,552","10.91","876"
"Black African","1.12","2,002","8.32","10,325","4.68","237"
"Black Caribbean","3.28","1,521","17.75","7,465","25.83","446"
"Black other","1.61","587","11.77","2,762","15.58","193"
"Chinese","0.11","24","1.20","155","0.51","2"
"Mixed","1.81","5,264","12.26","20,853","21.56","1,466"
"Mixed White/Asian","0.81","559","7.66","3,088","10.95","135"
"Mixed White/Black African","1.81","733","12.81","2,746","17.50","157"
"Mixed White/Black Caribbean","3.46","2,558","19.75","9,121","34.01","705"
"Mixed other","1.32","1,414","9.48","5,898","18.06","469"
"White","1.56","54,252","10.90","263,385","13.38","11,717"
"White British","1.63","50,848","11.09","246,571","13.76","11,326"
"White Irish","1.37","166","9.00","944","11.64","37"
"Gypsy/Roma","4.30","772","43.63","3,505","19.43","82"
"Irish Traveller","8.14","379","50.35","571","59.71","83"
"White other","0.62","2,087","6.75","11,794","4.29","189"
"Other","0.57","526","7.20","4,224","4.67","90"
"Unknown","1.46","606","13.38","6,718","10.86","186"
