"Type of school","Ethnicity","%","Number"
"State-funded primary","Asian","0.25","1,323"
"State-funded primary","Bangladeshi","0.24","197"
"State-funded primary","Indian","0.09","133"
"State-funded primary","Pakistani","0.37","769"
"State-funded primary","Asian other","0.26","224"
"State-funded primary","Black","1.57","4,110"
"State-funded primary","Black African","1.12","2,002"
"State-funded primary","Black Caribbean","3.28","1,521"
"State-funded primary","Black other","1.61","587"
"State-funded primary","Chinese","0.11","24"
"State-funded primary","Mixed","1.81","5,264"
"State-funded primary","Mixed White/Asian","0.81","559"
"State-funded primary","Mixed White/Black African","1.81","733"
"State-funded primary","Mixed White/Black Caribbean","3.46","2,558"
"State-funded primary","Mixed other","1.32","1,414"
"State-funded primary","White","1.56","54,252"
"State-funded primary","White British","1.63","50,848"
"State-funded primary","White Irish","1.37","166"
"State-funded primary","Gypsy/Roma","4.30","772"
"State-funded primary","Irish Traveller","8.14","379"
"State-funded primary","White other","0.62","2,087"
"State-funded primary","Other","0.57","526"
"State-funded primary","Unknown","1.46","606"
"State-funded secondary","Asian","3.94","14,198"
"State-funded secondary","Bangladeshi","4.17","2,468"
"State-funded secondary","Indian","1.71","1,692"
"State-funded secondary","Pakistani","5.73","8,140"
"State-funded secondary","Asian other","3.16","1,898"
"State-funded secondary","Black","10.84","20,552"
"State-funded secondary","Black African","8.32","10,325"
"State-funded secondary","Black Caribbean","17.75","7,465"
"State-funded secondary","Black other","11.77","2,762"
"State-funded secondary","Chinese","1.20","155"
"State-funded secondary","Mixed","12.26","20,853"
"State-funded secondary","Mixed White/Asian","7.66","3,088"
"State-funded secondary","Mixed White/Black African","12.81","2,746"
"State-funded secondary","Mixed White/Black Caribbean","19.75","9,121"
"State-funded secondary","Mixed other","9.48","5,898"
"State-funded secondary","White","10.90","263,385"
"State-funded secondary","White British","11.09","246,571"
"State-funded secondary","White Irish","9.00","944"
"State-funded secondary","Gypsy/Roma","43.63","3,505"
"State-funded secondary","Irish Traveller","50.35","571"
"State-funded secondary","White other","6.75","11,794"
"State-funded secondary","Other","7.20","4,224"
"State-funded secondary","Unknown","13.38","6,718"
"Special","Asian","1.95","226"
"Special","Bangladeshi","3.94","77"
"Special","Indian","0.65","14"
"Special","Pakistani","1.60","88"
"Special","Asian other","2.32","47"
"Special","Black","10.91","876"
"Special","Black African","4.68","237"
"Special","Black Caribbean","25.83","446"
"Special","Black other","15.58","193"
"Special","Chinese","0.51","2"
"Special","Mixed","21.56","1,466"
"Special","Mixed White/Asian","10.95","135"
"Special","Mixed White/Black African","17.50","157"
"Special","Mixed White/Black Caribbean","34.01","705"
"Special","Mixed other","18.06","469"
"Special","White","13.38","11,717"
"Special","White British","13.76","11,326"
"Special","White Irish","11.64","37"
"Special","Gypsy/Roma","19.43","82"
"Special","Irish Traveller","59.71","83"
"Special","White other","4.29","189"
"Special","Other","4.67","90"
"Special","Unknown","10.86","186"
