"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Academic year","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"2006/07","5.65","425,554","3.07","15,817","8.98","25,494","0.83","205","9.02","19,725","6.32","347,846","3.97","2,933"
"2007/08","5.13","383,831","2.78","14,950","8.00","23,478","0.95","236","7.75","17,837","5.83","314,783","3.79","2,977"
"2008/09","4.88","363,277","2.65","14,751","7.72","23,361","0.83","206","7.37","17,925","5.57","296,002","3.61","2,990"
"2009/10","4.44","331,380","2.44","14,112","7.28","22,820","0.73","181","6.85","17,684","5.07","267,282","3.27","2,853"
"2010/11","4.33","324,106","2.21","13,253","6.98","22,775","0.62","155","6.55","17,891","4.94","258,314","3.24","2,973"
"2011/12","4.03","304,372","2.05","12,885","6.00","20,316","0.45","115","5.94","17,139","4.72","245,106","3.08","2,983"
"2012/13","3.51","267,520","1.82","11,845","5.06","17,802","0.41","106","5.13","15,629","4.14","214,482","2.76","2,770"
"2013/14","3.50","269,475","1.68","11,347","4.77","17,389","0.41","109","5.02","16,226","4.16","216,185","2.56","2,712"
"2014/15","3.88","302,975","1.85","12,988","5.42","20,446","0.47","131","5.49","18,835","4.61","240,762","2.96","3,324"
"2015/16","4.29","339,362","1.91","13,906","5.89","22,899","0.56","161","5.98","21,664","5.14","269,533","3.05","3,645"
"2016/17","4.76","381,864","1.80","15,680","5.65","25,557","0.56","197","5.73","25,678","5.08","303,724","3.11","4,570"
"2017/18","5.08","410,753","1.76","15,747","5.56","25,538","0.50","181","5.89","27,583","5.50","329,354","3.16","4,840"
