"Ethnicity","Academic year","1st class honours","Upper 2nd class honours","Lower 2nd, 3rd or pass"
"Asian","2014/15","17.7","47.5","34.9"
"Asian","2015/16","18.3","47.9","33.8"
"Asian","2016/17","20.6","48.2","31.1"
"Asian","2017/18","22.5","47.7","29.8"
"Asian","2018/19","22.8","47.3","29.9"
"Asian","2019/20","30.3","47.2","22.4"
"Asian","2020/21","33.3","46.6","20.1"
"Black","2014/15","9.7","41.1","49.2"
"Black","2015/16","10.6","41.9","47.5"
"Black","2016/17","11.9","42.6","45.5"
"Black","2017/18","13.4","42.5","44.0"
"Black","2018/19","14.0","43.7","42.3"
"Black","2019/20","19.1","46.7","34.2"
"Black","2020/21","20.0","47.1","32.9"
"Mixed","2014/15","19.6","52.4","28.0"
"Mixed","2015/16","20.7","51.5","27.7"
"Mixed","2016/17","24.1","50.2","25.7"
"Mixed","2017/18","26.1","50.6","23.2"
"Mixed","2018/19","26.1","50.3","23.7"
"Mixed","2019/20","33.2","49.0","17.8"
"Mixed","2020/21","35.6","47.6","16.8"
"White","2014/15","24.7","52.4","23.0"
"White","2015/16","26.3","52.0","21.8"
"White","2016/17","28.5","50.9","20.6"
"White","2017/18","30.7","50.0","19.3"
"White","2018/19","31.4","49.8","18.8"
"White","2019/20","38.2","47.6","14.1"
"White","2020/21","39.4","46.3","14.3"
"Other","2014/15","16.9","45.5","37.6"
"Other","2015/16","17.4","47.0","35.7"
"Other","2016/17","20.1","46.7","33.1"
"Other","2017/18","21.4","45.6","33.0"
"Other","2018/19","22.2","44.4","33.4"
"Other","2019/20","28.0","47.2","24.8"
"Other","2020/21","30.8","46.3","22.9"
