"Classification of first degree","Ethnicity","% of each ethnicity","Number of students"
"1st class honours","Asian","33.3","13,490"
"1st class honours","Black","20.0","4,880"
"1st class honours","Mixed","35.6","5,375"
"1st class honours","White","39.4","101,220"
"1st class honours","Other","30.8","1,765"
"Upper 2nd class honours","Asian","46.6","18,895"
"Upper 2nd class honours","Black","47.1","11,510"
"Upper 2nd class honours","Mixed","47.6","7,195"
"Upper 2nd class honours","White","46.3","118,945"
"Upper 2nd class honours","Other","46.3","2,650"
"Lower 2nd, 3rd or pass","Asian","20.1","8,140"
"Lower 2nd, 3rd or pass","Black","32.9","8,045"
"Lower 2nd, 3rd or pass","Mixed","16.8","2,530"
"Lower 2nd, 3rd or pass","White","14.3","36,815"
"Lower 2nd, 3rd or pass","Other","22.9","1,310"
"Unclassified","Asian","N/A","2,655"
"Unclassified","Black","N/A","660"
"Unclassified","Mixed","N/A","610"
"Unclassified","White","N/A","12,120"
"Unclassified","Other","N/A","290"
