"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Classification of first degree","Count","Value","Value_type"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","Academic year","First class honours","59130","24.7","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","Academic year","Lower second, third or pass","55080","23","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","Academic year","Unclassified","16570","NA","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","Academic year","Upper second class honours","125555","52.4","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","Academic year","First class honours","1910","9.7","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","Academic year","Lower second, third or pass","9640","49.2","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","Academic year","Unclassified","725","NA","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","Academic year","Upper second class honours","8045","41.1","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","Academic year","First class honours","5255","17.7","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","Academic year","Lower second, third or pass","10370","34.9","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","Academic year","Unclassified","2640","NA","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","Academic year","Upper second class honours","14130","47.5","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","Academic year","First class honours","2035","19.6","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","Academic year","Lower second, third or pass","2905","28","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","Academic year","Unclassified","565","NA","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","Academic year","Upper second class honours","5445","52.4","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","Academic year","First class honours","580","16.9","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","Academic year","Lower second, third or pass","1290","37.6","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","Academic year","Unclassified","240","NA","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","Academic year","Upper second class honours","1560","45.5","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","Academic year","First class honours","995","14.7","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","Academic year","Lower second, third or pass","3315","49.1","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","Academic year","Unclassified","790","NA","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","Academic year","Upper second class honours","2445","36.2","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","Academic year","First class honours","63925","26.3","%"
