"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","All","All","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","55.42817938","%","172581","55.18915756","55.66082014"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","47.24264803","%","7238","46.11736668","48.4111633"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","45.71198857","%","2419","43.77842084","47.7056635"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","52.05093483","%","979","49.02962206","55.15832482"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","53.93544764","%","2105","51.78147268","56.00950119"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","56.47011677","%","144001","56.22113735","56.72460608"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Any Other White Background","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","56.25863614","%","9335","55.26513123","57.28976968"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","57.90620487","%","1332","55.25525526","60.51051051"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Unknown","Unknown","2019/20","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","NA","%","5172","NA","NA"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","All","All","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","54.41510636","%","176153","54.18130829","54.64624503"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","45.78136291","%","6795","44.60632818","46.97571744"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","43.37574095","%","2281","41.3853573","45.41867602"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","50.01028127","%","935","46.73796791","53.15508021"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","51.9821718","%","2063","49.78187106","54.09718856"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","55.59390665","%","147791","55.33961811","55.84372526"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Any Other White Background","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","55.03952537","%","9362","54.02665029","56.01367229"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","56.1595035","%","1251","53.39728217","58.83293365"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Unknown","Unknown","2018/19","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","NA","%","5675","NA","NA"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","All","All","2017/18","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","54.81910676","%","173597","54.58691573","55.05093439"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","46.96371519","%","6256","45.72708927","48.20261685"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","44.20765195","%","2250","42.15125827","46.27343879"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","50.32779992","%","855","46.97636344","53.64732492"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","50.74804649","%","1908","48.50455352","52.98164041"
"Proportion Of The Population Meeting The Recommended '5-A-Day' On A 'Usual Day' (Adults)","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Mid-November to Mid-November","England","Country","E92000001","Persons","16+ Yrs","55.9265869","%","146014","55.67401353","56.17869066"
