"Ethnicity","%"
"All","83.8"
"Asian",""
"Bangladeshi","72.6"
"Chinese","75.2"
"Indian","76.5"
"Pakistani","72.8"
"Asian other","79.5"
"Black",""
"Black African","86.3"
"Black Caribbean","84.8"
"Black other","82.0"
"Mixed",""
"Mixed White/Asian","79.2"
"Mixed White/Black African","81.8"
"Mixed White/Black Caribbean","80.8"
"Mixed other","78.0"
"White",""
"White British","85.5"
"White Irish","88.0"
"White Gypsy/Traveller","72.9"
"White other","76.4"
"Other",""
"Arab","77.2"
"Any other","79.1"
