"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value Type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","All","All","England","83.1","%","817605.1","679527.8","83","83.2",""
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","All","All","England","81.8","%","701159.4","573637.4","81.7","81.9",""
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","All","All","England","83","%","749157.9","621525.1","82.8","83.1",""
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","All","All","England","83.8","%","735431.2","616424.2","83.7","83.9",""
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","All","All","England","84.8","%","794943.5","673978","84.7","84.9",""
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","All","All","England","85.2","%","819492.2","698224.5","85.1","85.3",""
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","All","All","England","84.8","%","841218.7","713546.9","84.7","84.9",""
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","All","All","England","85.7","%","883852","757456.1","85.6","85.8",""
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","All","All","England","86.7","%","948507.5","822728.3","86.6","86.8",""
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","All","All","England","88.3","%","1009576.2","891213.9","88.2","88.4",""
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Bangladeshi","ONS 2011 18+1","England","73.6","%","7565.3","5567.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Bangladeshi","ONS 2011 18+1","England","71.4","%","5887.8","4203.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Bangladeshi","ONS 2011 18+1","England","71.7","%","6312.4","4527.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Bangladeshi","ONS 2011 18+1","England","72.6","%","6000.9","4354.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 2011 18+1","England","73.7","%","5219.9","3847.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 2011 18+1","England","73.1","%","5271.8","3854.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Bangladeshi","ONS 2011 18+1","England","73.7","%","4959.7","3655.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Bangladeshi","ONS 2011 18+1","England","75.7","%","4862","3680.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Bangladeshi","ONS 2011 18+1","England","74.9","%","5202","3896.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Bangladeshi","ONS 2011 18+1","England","78.1","%","5909.3","4617.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Indian","ONS 2011 18+1","England","77.6","%","27999.6","21721.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Indian","ONS 2011 18+1","England","74.9","%","21580.9","16173.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Indian","ONS 2011 18+1","England","76.3","%","22850.6","17442.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Indian","ONS 2011 18+1","England","76.5","%","21851.3","16723","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Indian","ONS 2011 18+1","England","76","%","20096","15264.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Indian","ONS 2011 18+1","England","76.4","%","21246.6","16234.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Indian","ONS 2011 18+1","England","74.9","%","19818.1","14837.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Indian","ONS 2011 18+1","England","76.6","%","20260.9","15526.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Indian","ONS 2011 18+1","England","76.9","%","22008.9","16935.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Indian","ONS 2011 18+1","England","79","%","23822.8","18819.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Pakistani","ONS 2011 18+1","England","73.2","%","16832.1","12317.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Pakistani","ONS 2011 18+1","England","71.9","%","14216.5","10224.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Pakistani","ONS 2011 18+1","England","72.5","%","15029.2","10902.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Pakistani","ONS 2011 18+1","England","72.8","%","14471.6","10542.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Pakistani","ONS 2011 18+1","England","72.3","%","13423.2","9704.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Pakistani","ONS 2011 18+1","England","73.8","%","13661.7","10076.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Pakistani","ONS 2011 18+1","England","72.6","%","12434.6","9024.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Pakistani","ONS 2011 18+1","England","74.8","%","12811.7","9577.7","NA","NA","No figures to report for upper and lower bounds"
