"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value_type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","All","All","England","76.8","%","436317.7","335301.4","76.7","77",""
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","All","All","England","84.2","%","377677.7","317959.7","84","84.4",""
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","All","All","England","84.9","%","421487.3","358002.3","84.8","85.1",""
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","All","All","England","85.2","%","418611.1","356552.8","85","85.3",""
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","All","All","England","85.2","%","452377.8","385458.2","85.1","85.3",""
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","All","All","England","85.2","%","233593.7","199030","85","85.4",""
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","All","All","England","84.6","%","249922.9","211425","84.4","84.8",""
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","All","All","England","84.2","%","263567.5","221899.3","84","84.4",""
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","All","All","England","84","%","284180.6","238667","83.8","84.2",""
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","All","All","England","83.4","%","282434.9","235635.8","83.2","83.6",""
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Bangladeshi","ONS 2011 18+1","England","70.6","%","3908.5","2758.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Bangladeshi","ONS 2011 18+1","England","77.1","%","3260.6","2512.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Bangladeshi","ONS 2011 18+1","England","78.1","%","3660.1","2859.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Bangladeshi","ONS 2011 18+1","England","76.9","%","3477","2675.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 2011 18+1","England","76","%","3061.6","2325.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 2011 18+1","England","78","%","1484.5","1158.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Bangladeshi","ONS 2011 18+1","England","76.5","%","1318.7","1008.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Bangladeshi","ONS 2011 18+1","England","77.4","%","1310.7","1014.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Bangladeshi","ONS 2011 18+1","England","74.1","%","1462.9","1084.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Bangladeshi","ONS 2011 18+1","England","76.5","%","1536","1175.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Indian","ONS 2011 18+1","England","72.6","%","12586.1","9131.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Indian","ONS 2011 18+1","England","77.4","%","9951.4","7697.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Indian","ONS 2011 18+1","England","79.2","%","11531","9135.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Indian","ONS 2011 18+1","England","77.4","%","11126.2","8609.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Indian","ONS 2011 18+1","England","78.1","%","10154.3","7934.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Indian","ONS 2011 18+1","England","76.5","%","5321.2","4073","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Indian","ONS 2011 18+1","England","75.3","%","5272.4","3969","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Indian","ONS 2011 18+1","England","76.8","%","5217","4007.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Indian","ONS 2011 18+1","England","74.9","%","5605.5","4199.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Indian","ONS 2011 18+1","England","73.3","%","5774.9","4234.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Pakistani","ONS 2011 18+1","England","69.9","%","9218.1","6443.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Pakistani","ONS 2011 18+1","England","77.2","%","8234.2","6352.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Pakistani","ONS 2011 18+1","England","77.7","%","9024.1","7008.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Pakistani","ONS 2011 18+1","England","77.9","%","8795.2","6852.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Pakistani","ONS 2011 18+1","England","77.1","%","8116.8","6257.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Pakistani","ONS 2011 18+1","England","76","%","4285.1","3257.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Pakistani","ONS 2011 18+1","England","75.8","%","3739.8","2834.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Pakistani","ONS 2011 18+1","England","76.8","%","3995.5","3066.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Pakistani","ONS 2011 18+1","England","73.8","%","4102","3026.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Pakistani","ONS 2011 18+1","England","75","%","4259.2","3194","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Any Other Asian Background","ONS 2011 18+1","England","70.2","%","6896.6","4839","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Any Other Asian Background","ONS 2011 18+1","England","76.9","%","5775.2","4441.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Any Other Asian Background","ONS 2011 18+1","England","77.1","%","6154.4","4746.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Any Other Asian Background","ONS 2011 18+1","England","77.4","%","5966.1","4620.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Any Other Asian Background","ONS 2011 18+1","England","76.2","%","6548.8","4993.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Any Other Asian Background","ONS 2011 18+1","England","78.2","%","3033.8","2371.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Any Other Asian Background","ONS 2011 18+1","England","76.5","%","3074.9","2352.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Any Other Asian Background","ONS 2011 18+1","England","75.6","%","3018","2280.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Any Other Asian Background","ONS 2011 18+1","England","76.7","%","3042.5","2332.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Any Other Asian Background","ONS 2011 18+1","England","74.8","%","3423.6","2561.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Black African","ONS 2011 18+1","England","74.5","%","7989.6","5954.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Black African","ONS 2011 18+1","England","79.5","%","7088.6","5636.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Black African","ONS 2011 18+1","England","80","%","7788.5","6229.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Black African","ONS 2011 18+1","England","80.1","%","7413.5","5939.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Black African","ONS 2011 18+1","England","80.3","%","6229.2","5002.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Black African","ONS 2011 18+1","England","81.5","%","3114.3","2537.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Black African","ONS 2011 18+1","England","79","%","3129.9","2473.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Black African","ONS 2011 18+1","England","78.9","%","3067.4","2421.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Black African","ONS 2011 18+1","England","77.8","%","3383.2","2632","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Black African","ONS 2011 18+1","England","77.7","%","3592.3","2791.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Black Caribbean","ONS 2011 18+1","England","77","%","3748.2","2887.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Black Caribbean","ONS 2011 18+1","England","83.2","%","3648.1","3036.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Black Caribbean","ONS 2011 18+1","England","83.2","%","4260.4","3546","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Black Caribbean","ONS 2011 18+1","England","82.9","%","4182.7","3467.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 2011 18+1","England","84.5","%","3906","3300.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Black Caribbean","ONS 2011 18+1","England","83.3","%","1869.4","1556.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Black Caribbean","ONS 2011 18+1","England","85.3","%","1947.4","1660.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Black Caribbean","ONS 2011 18+1","England","81.5","%","2210.2","1801","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Black Caribbean","ONS 2011 18+1","England","80.6","%","2377.7","1915.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Black Caribbean","ONS 2011 18+1","England","81.3","%","2445.2","1989.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Any Other Black Background","ONS 2011 18+1","England","73.3","%","2736.7","2006.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Any Other Black Background","ONS 2011 18+1","England","78.7","%","1089.8","857.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Any Other Black Background","ONS 2011 18+1","England","78.2","%","1096.7","857.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Any Other Black Background","ONS 2011 18+1","England","78","%","1052.5","820.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Any Other Black Background","ONS 2011 18+1","England","81.5","%","1993.8","1624.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Any Other Black Background","ONS 2011 18+1","England","80.9","%","868.3","702.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Any Other Black Background","ONS 2011 18+1","England","78.4","%","921.1","722.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Any Other Black Background","ONS 2011 18+1","England","78.9","%","982.9","776","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Any Other Black Background","ONS 2011 18+1","England","80.2","%","1093.1","876.3","NA","NA","No figures to report for upper and lower bounds"
