"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value Type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Satisfaction with access to GP services","2020/21","January 2021 to March 2021","All","All","England","70.7","%","753137.8","532781.2","70.6","70.9",""
"Satisfaction with access to GP services","2019/20","January 2020 to March 2020","All","All","England","65.5","%","663735.7","434744","65.3","65.7",""
"Satisfaction with access to GP services","2018/19","January 2019 to March 2019","All","All","England","67.4","%","699311.6","471363.4","67.2","67.6",""
"Satisfaction with access to GP services","2017/18b2","January 2018 to March 2018","All","All","England","68.7","%","688180.1","472550.1","68.5","68.8",""
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","All","All","England","72.7","%","773210.1","561766.8","72.5","72.8",""
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","All","All","England","73.4","%","799136.1","586869.7","73.3","73.6",""
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","All","All","England","73.3","%","824644.7","604394.2","73.2","73.4",""
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","All","All","England","74.6","%","863670.8","644326.3","74.5","74.7",""
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","All","All","England","76.3","%","933601.2","712732.4","76.2","76.5",""
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","All","All","England","79.1","%","993280.8","786168.1","79","79.3",""
"Satisfaction with access to GP services","2020/21","January 2021 to March 2021","Bangladeshi","ONS 2011 18+1","England","60.7","%","7036.8","4273.3","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2019/20","January 2020 to March 2020","Bangladeshi","ONS 2011 18+1","England","54.9","%","5667.1","3112.4","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2018/19","January 2019 to March 2019","Bangladeshi","ONS 2011 18+1","England","54.5","%","5967.8","3251.5","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18b2","January 2018 to March 2018","Bangladeshi","ONS 2011 18+1","England","57","%","5714.2","3254.7","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 2011 18+1","England","58.9","%","5139.2","3025.1","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 2011 18+1","England","59","%","5240.8","3092.2","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Bangladeshi","ONS 2011 18+1","England","61","%","4916.5","3000.1","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Bangladeshi","ONS 2011 18+1","England","61.4","%","4799.6","2948.2","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Bangladeshi","ONS 2011 18+1","England","62.6","%","5167.7","3237.5","NA","NA","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Bangladeshi","ONS 2011 18+1","England","66.1","%","5808","3837.1","NA","NA","No figures to report for upper and lower bounds"
