"Ethnicity","%"
"All","68.7"
"Asian",""
"Bangladeshi","57.0"
"Chinese","60.7"
"Indian","59.9"
"Pakistani","54.6"
"Asian other","66.9"
"Black",""
"Black African","73.4"
"Black Caribbean","67.5"
"Black other","66.1"
"Mixed",""
"Mixed White/Asian","65.7"
"Mixed White/Black African","65.9"
"Mixed White/Black Caribbean","64.1"
"Mixed other","65.0"
"White",""
"White British","69.8"
"White Irish","72.7"
"White Gypsy/Traveller","61.6"
"White other","67.3"
"Other",""
"Arab","65.9"
"Any other","67.0"
"Unknown","63.3"
