"Ethnicity","Highest Qualification Held",""
"All","All","82"
"All","Level 4 And Above","90"
"All","Level 3","85"
"All","Level 2","77"
"All","Below Level 2","74"
"All","Other Qualifications","81"
"All","No Qualifications","51"
"Asian","All","84"
"Asian","Level 4 And Above","91"
"Asian","Level 3","82"
"Asian","Level 2","69"
"Asian","Below Level 2","79"
"Asian","Other Qualifications","87"
"Asian","No Qualifications","60"
"Black","All","78"
"Black","Level 4 And Above","89"
"Black","Level 3","?"
"Black","Level 2","?"
"Black","Below Level 2","?"
"Black","Other Qualifications","?"
"Black","No Qualifications","?"
"Mixed","All","73"
"Mixed","Level 4 And Above","91"
"Mixed","Level 3","?"
"Mixed","Level 2","?"
"Mixed","Below Level 2","?"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","82"
"White","Level 4 And Above","89"
"White","Level 3","85"
"White","Level 2","78"
"White","Below Level 2","75"
"White","Other Qualifications","80"
"White","No Qualifications","51"
"Other","All","81"
"Other","Level 4 And Above","89"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other Qualifications","77"
"Other","No Qualifications","?"
