"Ethnicity","Highest Qualification Held",""
"All","All","74"
"All","Level 4 And Above","84"
"All","Level 3","78"
"All","Level 2","68"
"All","Below Level 2","61"
"All","Other Qualifications","65"
"All","No Qualifications","36"
"Asian","All","64"
"Asian","Level 4 And Above","78"
"Asian","Level 3","68"
"Asian","Level 2","45"
"Asian","Below Level 2","45"
"Asian","Other Qualifications","50"
"Asian","No Qualifications","27"
"Black","All","68"
"Black","Level 4 And Above","77"
"Black","Level 3","69"
"Black","Level 2","59"
"Black","Below Level 2","?"
"Black","Other Qualifications","62"
"Black","No Qualifications","?"
"Mixed","All","71"
"Mixed","Level 4 And Above","86"
"Mixed","Level 3","?"
"Mixed","Level 2","?"
"Mixed","Below Level 2","?"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","76"
"White","Level 4 And Above","85"
"White","Level 3","79"
"White","Level 2","69"
"White","Below Level 2","62"
"White","Other Qualifications","70"
"White","No Qualifications","38"
"Other","All","66"
"Other","Level 4 And Above","74"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other Qualifications","55"
"Other","No Qualifications","?"
