"","16-24","","25-49","","50-64","","All",""
"Ethnicity","%","Number of people employed","%","Number of people employed","%","Number of people employed","%","Number of people employed"
"All","52","3,394,600","85","17,699,200","71","8,930,200","75","30,024,000"
"Asian","37","217,400","77","1,564,800","71","387,800","69","2,170,000"
"Indian","37","57,600","86","710,900","77","174,700","78","943,100"
"Pakistani, Bangladeshi","37","102,400","66","453,400","58","90,000","58","645,800"
"Asian Other","37","57,400","77","400,600","74","123,100","69","581,100"
"Black","31","89,000","78","607,400","74","273,300","67","969,700"
"Mixed","36","89,000","81","289,500","71","67,900","64","446,400"
"White","55","2,959,900","86","14,863,200","71","8,097,100","76","25,920,200"
"White British","56","2,826,700","86","12,941,100","70","7,662,800","76","23,430,600"
"White Other","44","133,200","88","1,922,100","77","434,300","82","2,489,600"
"Other","34","36,600","74","363,300","66","95,700","67","495,700"
