"Region","Ethnicity","%"
"All","All","75"
"All","Asian","69"
"All","Indian","78"
"All","Pakistani, Bangladeshi","58"
"All","Asian Other","69"
"All","Black","67"
"All","Mixed","64"
"All","White","76"
"All","White British","76"
"All","White Other","82"
"All","Other","67"
"East Midlands","All","74"
"East Midlands","Asian","70"
"East Midlands","Indian","76"
"East Midlands","Pakistani, Bangladeshi","53"
"East Midlands","Asian Other","?"
"East Midlands","Black","66"
"East Midlands","Mixed","?"
"East Midlands","White","75"
"East Midlands","White British","75"
"East Midlands","White Other","83"
"East Midlands","Other","?"
"East Of England","All","78"
"East Of England","Asian","74"
"East Of England","Indian","83"
"East Of England","Pakistani, Bangladeshi","56"
"East Of England","Asian Other","78"
"East Of England","Black","72"
"East Of England","Mixed","62"
"East Of England","White","79"
"East Of England","White British","78"
"East Of England","White Other","83"
"East Of England","Other","77"
"London","All","75"
"London","Asian","71"
"London","Indian","80"
"London","Pakistani, Bangladeshi","61"
"London","Asian Other","72"
"London","Black","67"
"London","Mixed","64"
"London","White","79"
"London","White British","77"
"London","White Other","83"
"London","Other","66"
"North East","All","70"
"North East","Asian","66"
"North East","Indian","?"
"North East","Pakistani, Bangladeshi","?"
"North East","Asian Other","?"
"North East","Black","?"
"North East","Mixed","?"
"North East","White","71"
"North East","White British","71"
"North East","White Other","77"
"North East","Other","?"
"North West","All","73"
"North West","Asian","60"
"North West","Indian","71"
"North West","Pakistani, Bangladeshi","50"
"North West","Asian Other","66"
"North West","Black","66"
"North West","Mixed","66"
"North West","White","74"
"North West","White British","74"
"North West","White Other","82"
"North West","Other","61"
"Scotland","All","73"
"Scotland","Asian","66"
"Scotland","Indian","?"
"Scotland","Pakistani, Bangladeshi","?"
"Scotland","Asian Other","?"
"Scotland","Black","?"
"Scotland","Mixed","?"
"Scotland","White","74"
"Scotland","White British","73"
"Scotland","White Other","82"
"Scotland","Other","?"
"South East","All","78"
"South East","Asian","71"
"South East","Indian","79"
"South East","Pakistani, Bangladeshi","66"
"South East","Asian Other","67"
"South East","Black","72"
"South East","Mixed","68"
"South East","White","78"
"South East","White British","78"
"South East","White Other","81"
"South East","Other","82"
"South West","All","77"
"South West","Asian","77"
"South West","Indian","87"
"South West","Pakistani, Bangladeshi","?"
"South West","Asian Other","71"
"South West","Black","?"
"South West","Mixed","72"
"South West","White","78"
"South West","White British","77"
"South West","White Other","81"
"South West","Other","?"
"Wales","All","73"
"Wales","Asian","68"
"Wales","Indian","?"
"Wales","Pakistani, Bangladeshi","?"
"Wales","Asian Other","?"
"Wales","Black","?"
"Wales","Mixed","?"
"Wales","White","74"
"Wales","White British","73"
"Wales","White Other","80"
"Wales","Other","?"
"West Midlands","All","74"
"West Midlands","Asian","66"
"West Midlands","Indian","77"
"West Midlands","Pakistani, Bangladeshi","59"
"West Midlands","Asian Other","53"
"West Midlands","Black","69"
"West Midlands","Mixed","62"
"West Midlands","White","76"
"West Midlands","White British","75"
"West Midlands","White Other","81"
"West Midlands","Other","61"
"Yorkshire And The Humber","All","74"
"Yorkshire And The Humber","Asian","59"
"Yorkshire And The Humber","Indian","73"
"Yorkshire And The Humber","Pakistani, Bangladeshi","51"
"Yorkshire And The Humber","Asian Other","?"
"Yorkshire And The Humber","Black","60"
"Yorkshire And The Humber","Mixed","?"
"Yorkshire And The Humber","White","76"
"Yorkshire And The Humber","White British","76"
"Yorkshire And The Humber","White Other","77"
"Yorkshire And The Humber","Other","?"
