"Time","Ethnicity","%"
"2004","All","60"
"2004","Asian","37"
"2004","Indian","44"
"2004","Pakistani, Bangladeshi","33"
"2004","Asian Other","34"
"2004","Black","36"
"2004","Mixed","49"
"2004","White","63"
"2004","White British","63"
"2004","White Other","56"
"2004","Other","36"
"2005","All","59"
"2005","Asian","36"
"2005","Indian","42"
"2005","Pakistani, Bangladeshi","35"
"2005","Asian Other","32"
"2005","Black","35"
"2005","Mixed","46"
"2005","White","62"
"2005","White British","62"
"2005","White Other","62"
"2005","Other","36"
"2006","All","58"
"2006","Asian","39"
"2006","Indian","47"
"2006","Pakistani, Bangladeshi","36"
"2006","Asian Other","32"
"2006","Black","38"
"2006","Mixed","49"
"2006","White","61"
"2006","White British","61"
"2006","White Other","65"
"2006","Other","34"
"2007","All","57"
"2007","Asian","35"
"2007","Indian","45"
"2007","Pakistani, Bangladeshi","30"
"2007","Asian Other","31"
"2007","Black","38"
"2007","Mixed","49"
"2007","White","61"
"2007","White British","61"
"2007","White Other","61"
"2007","Other","37"
"2008","All","56"
"2008","Asian","37"
"2008","Indian","42"
"2008","Pakistani, Bangladeshi","34"
"2008","Asian Other","33"
"2008","Black","31"
"2008","Mixed","44"
"2008","White","60"
"2008","White British","59"
"2008","White Other","63"
"2008","Other","37"
"2009","All","53"
"2009","Asian","33"
"2009","Indian","37"
"2009","Pakistani, Bangladeshi","32"
"2009","Asian Other","28"
"2009","Black","28"
"2009","Mixed","41"
"2009","White","56"
"2009","White British","56"
"2009","White Other","57"
"2009","Other","30"
"2010","All","50"
"2010","Asian","30"
"2010","Indian","38"
"2010","Pakistani, Bangladeshi","30"
"2010","Asian Other","22"
"2010","Black","27"
"2010","Mixed","36"
"2010","White","54"
"2010","White British","54"
"2010","White Other","55"
"2010","Other","29"
"2011","All","49"
"2011","Asian","-"
"2011","Indian","-"
"2011","Pakistani, Bangladeshi","-"
"2011","Asian Other","-"
"2011","Black","-"
"2011","Mixed","-"
"2011","White","-"
"2011","White British","-"
"2011","White Other","-"
"2011","Other","-"
"2012","All","50"
"2012","Asian","31"
"2012","Indian","41"
"2012","Pakistani, Bangladeshi","30"
"2012","Asian Other","23"
"2012","Black","27"
"2012","Mixed","41"
"2012","White","53"
"2012","White British","53"
"2012","White Other","48"
"2012","Other","26"
"2013","All","50"
"2013","Asian","28"
"2013","Indian","33"
"2013","Pakistani, Bangladeshi","28"
"2013","Asian Other","24"
"2013","Black","27"
"2013","Mixed","43"
"2013","White","54"
"2013","White British","54"
"2013","White Other","51"
"2013","Other","25"
"2014","All","51"
"2014","Asian","30"
"2014","Indian","34"
"2014","Pakistani, Bangladeshi","32"
"2014","Asian Other","24"
"2014","Black","31"
"2014","Mixed","43"
"2014","White","55"
"2014","White British","55"
"2014","White Other","49"
"2014","Other","26"
"2015","All","54"
"2015","Asian","33"
"2015","Indian","35"
"2015","Pakistani, Bangladeshi","35"
"2015","Asian Other","27"
"2015","Black","32"
"2015","Mixed","42"
"2015","White","58"
"2015","White British","58"
"2015","White Other","55"
"2015","Other","34"
"2016","All","54"
"2016","Asian","31"
"2016","Indian","35"
"2016","Pakistani, Bangladeshi","32"
"2016","Asian Other","27"
"2016","Black","37"
"2016","Mixed","39"
"2016","White","58"
"2016","White British","58"
"2016","White Other","56"
"2016","Other","32"
"2017","All","54"
"2017","Asian","34"
"2017","Indian","43"
"2017","Pakistani, Bangladeshi","32"
"2017","Asian Other","29"
"2017","Black","34"
"2017","Mixed","47"
"2017","White","58"
"2017","White British","59"
"2017","White Other","55"
"2017","Other","30"
"2018","All","54"
"2018","Asian","37"
"2018","Indian","43"
"2018","Pakistani, Bangladeshi","37"
"2018","Asian Other","29"
"2018","Black","33"
"2018","Mixed","46"
"2018","White","58"
"2018","White British","58"
"2018","White Other","53"
"2018","Other","31"
"2019","All","54"
"2019","Asian","34"
"2019","Indian","38"
"2019","Pakistani, Bangladeshi","34"
"2019","Asian Other","31"
"2019","Black","37"
"2019","Mixed","46"
"2019","White","58"
"2019","White British","58"
"2019","White Other","59"
"2019","Other","30"
"2020","All","52"
"2020","Asian","33"
"2020","Indian","37"
"2020","Pakistani, Bangladeshi","29"
"2020","Asian Other","36"
"2020","Black","32"
"2020","Mixed","45"
"2020","White","56"
"2020","White British","56"
"2020","White Other","49"
"2020","Other","36"
"2021","All","52"
"2021","Asian","37"
"2021","Indian","37"
"2021","Pakistani, Bangladeshi","37"
"2021","Asian Other","37"
"2021","Black","31"
"2021","Mixed","36"
"2021","White","55"
"2021","White British","56"
"2021","White Other","44"
"2021","Other","34"
