"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","73","73","73","73","72","71","70","70","71","71","72","74","74","75","75","76","75","75"
"Asian","57","57","58","58","59","59","59","-","59","59","62","63","63","64","66","65","68","69"
"Indian","68","69","69","69","69","68","70","-","69","69","71","71","73","74","76","76","77","78"
"Pakistani, Bangladeshi","44","44","45","45","46","47","46","-","48","49","52","53","54","55","57","56","57","58"
"Asian Other","58","60","60","61","64","63","59","-","60","59","62","64","63","64","64","65","68","69"
"Black","60","61","62","63","61","58","60","-","60","61","62","65","67","67","67","69","67","67"
"Mixed","62","62","65","63","60","60","61","-","60","62","63","65","64","67","67","69","69","64"
"White","74","74","74","74","74","72","72","-","72","73","74","75","76","77","77","78","77","76"
"White British","74","74","74","74","74","72","72","-","72","73","74","75","75","76","76","77","76","76"
"White Other","71","73","74","75","75","74","74","-","75","76","77","79","80","81","82","83","82","82"
"Other","55","57","55","58","58","56","56","-","56","57","57","59","61","62","61","63","66","67"
