"","All","","Men","","Women",""
"Ethnicity","%","Number of people employed","%","Number of people employed","%","Number of people employed"
"All","75","30,024,000","78","15,614,900","72","14,409,100"
"Asian","69","2,170,000","77","1,221,900","60","948,100"
"Indian","78","943,100","84","519,500","72","423,600"
"Pakistani, Bangladeshi","58","645,800","72","406,600","43","239,200"
"Asian Other","69","581,100","74","295,800","65","285,300"
"Black","67","969,700","71","442,700","64","527,000"
"Mixed","64","446,400","66","222,700","62","223,700"
"White","76","25,920,200","79","13,444,700","74","12,475,600"
"White British","76","23,430,600","78","12,229,000","73","11,201,600"
"White Other","82","2,489,600","85","1,215,700","79","1,274,000"
"Other","67","495,700","74","272,400","59","223,300"
