"Sex","Ethnicity","%","Number of people employed"
"All","All","75","30,024,000"
"All","Asian","69","2,170,000"
"All","Indian","78","943,100"
"All","Pakistani, Bangladeshi","58","645,800"
"All","Asian Other","69","581,100"
"All","Black","67","969,700"
"All","Mixed","64","446,400"
"All","White","76","25,920,200"
"All","White British","76","23,430,600"
"All","White Other","82","2,489,600"
"All","Other","67","495,700"
"Men","All","78","15,614,900"
"Men","Asian","77","1,221,900"
"Men","Indian","84","519,500"
"Men","Pakistani, Bangladeshi","72","406,600"
"Men","Asian Other","74","295,800"
"Men","Black","71","442,700"
"Men","Mixed","66","222,700"
"Men","White","79","13,444,700"
"Men","White British","78","12,229,000"
"Men","White Other","85","1,215,700"
"Men","Other","74","272,400"
"Women","All","72","14,409,100"
"Women","Asian","60","948,100"
"Women","Indian","72","423,600"
"Women","Pakistani, Bangladeshi","43","239,200"
"Women","Asian Other","65","285,300"
"Women","Black","64","527,000"
"Women","Mixed","62","223,700"
"Women","White","74","12,475,600"
"Women","White British","73","11,201,600"
"Women","White Other","79","1,274,000"
"Women","Other","59","223,300"
