"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","60","59","58","57","56","53","50","49","50","50","51","54","54","54","54","54","52","52"
"Asian","37","36","39","35","37","33","30","-","31","28","30","33","31","34","37","34","33","37"
"Indian","44","42","47","45","42","37","38","-","41","33","34","35","35","43","43","38","37","37"
"Pakistani, Bangladeshi","33","35","36","30","34","32","30","-","30","28","32","35","32","32","37","34","29","37"
"Asian Other","34","32","32","31","33","28","22","-","23","24","24","27","27","29","29","31","36","37"
"Black","36","35","38","38","31","28","27","-","27","27","31","32","37","34","33","37","32","31"
"Mixed","49","46","49","49","44","41","36","-","41","43","43","42","39","47","46","46","45","36"
"White","63","62","61","61","60","56","54","-","53","54","55","58","58","58","58","58","56","55"
"White British","63","62","61","61","59","56","54","-","53","54","55","58","58","59","58","58","56","56"
"White Other","56","62","65","61","63","57","55","-","48","51","49","55","56","55","53","59","49","44"
"Other","36","36","34","37","37","30","29","-","26","25","26","34","32","30","31","30","36","34"
