"","All","","Other Ethnic Groups","","White",""
"Year","%","Number of people employed","%","Number of people employed","%","Number of people employed"
"2004","73","27,057,900","58","2,011,900","74","25,022,700"
"2005","73","27,365,300","59","2,163,400","74","25,180,000"
"2006","73","27,592,800","59","2,329,900","74","25,245,300"
"2007","73","27,850,200","60","2,486,900","74","25,347,400"
"2008","72","27,957,200","60","2,611,100","74","25,329,800"
"2009","71","27,508,700","59","2,640,900","72","24,846,400"
"2010","70","27,484,600","59","2,755,200","72","24,703,600"
"2011","70","27,546,800","-","-","-","-"
"2012","71","27,759,100","59","2,993,800","72","24,749,700"
"2013","71","28,069,200","59","3,055,700","73","24,996,900"
"2014","72","28,585,700","61","3,259,400","74","25,277,300"
"2015","74","29,208,300","63","3,453,800","75","25,718,900"
"2016","74","29,506,000","64","3,651,900","76","25,830,800"
"2017","75","29,946,000","65","3,712,500","77","26,214,500"
"2018","75","30,116,600","65","3,879,600","77","26,212,300"
"2019","76","30,427,000","66","4,015,700","78","26,395,600"
"2020","75","30,247,200","67","3,982,000","77","26,241,100"
"2021","75","30,024,000","67","4,081,700","76","25,920,200"
