"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","75","75","76","76","75","75","74","74","74","74","74","74","75","75","75","75","76","77"
"Asian","76","76","77","76","76","73","72","-","72","74","73","74","75","74","75","75","76","78"
"Indian","78","79","80","80","80","79","79","-","77","78","79","80","81","79","82","81","81","82"
"Pakistani and Bangladeshi","72","71","72","73","70","66","63","-","66","67","68","67","71","68","69","69","69","69"
"Any Other Asian Background","76","76","76","73","74","71","71","-","71","74","70","72","72","74","73","73","76","80"
"Black","76","76","76","75","76","75","72","-","72","71","69","70","70","71","72","72","73","75"
"Mixed","74","74","73","72","75","74","73","-","71","69","71","67","69","69","73","74","71","77"
"White","75","75","76","75","75","75","74","-","74","74","75","75","75","75","75","75","76","77"
"White British","75","75","75","75","75","74","74","-","74","74","74","74","74","74","75","75","76","76"
"White Other","79","80","81","81","82","79","79","-","80","79","80","80","81","80","82","82","82","82"
"Other","76","77","76","77","78","75","71","-","72","73","72","69","71","75","72","73","76","76"
