"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","25","25","24","24","24","25","26","26","26","26","26","26","25","25","25","25","24","23"
"Asian","24","24","23","24","24","27","27","-","28","26","27","26","25","26","25","25","24","22"
"Indian","21","21","20","20","20","21","21","-","23","22","21","20","19","21","18","19","19","18"
"Pakistani and Bangladeshi","27","29","28","27","29","33","37","-","33","33","32","32","29","32","31","31","31","31"
"Any Other Asian Background","24","24","24","26","26","29","29","-","29","26","29","28","28","26","27","27","24","20"
"Black","23","24","24","24","24","25","27","-","28","29","30","29","29","29","28","27","27","24"
"Mixed","26","26","27","28","25","26","26","-","28","31","28","32","31","31","27","26","29","23"
"White","25","25","24","24","24","25","26","-","26","26","25","25","25","25","25","25","24","23"
"White British","25","25","25","25","25","26","26","-","26","26","26","26","26","25","25","25","24","24"
"White Other","21","20","19","18","18","21","20","-","19","20","19","20","19","20","18","18","18","18"
"Other","24","23","23","22","22","25","28","-","28","27","28","31","29","25","28","26","24","24"
