"","Full-Time","","Part-Time",""
"Ethnicity","%","Number","%","Number"
"All","77","23,090,600","23","6,894,900"
"Asian","78","1,681,600","22","486,100"
"Indian","82","775,700","18","166,700"
"Pakistani and Bangladeshi","69","444,100","31","200,800"
"Any Other Asian Background","80","461,800","20","118,600"
"Black","75","730,000","24","236,600"
"Mixed","77","342,600","23","102,500"
"White","77","19,944,500","23","5,944,800"
"White British","76","17,894,200","24","5,507,300"
"White Other","82","2,050,200","18","437,500"
"Other","76","376,800","24","118,200"
