"Gender","Ethnicity","% Full time","Number Full time","% Part time","Number Part time"
"Men","All","89","13,921,100","11","1,675,000"
"Men","Asian","86","1,054,800","14","166,500"
"Men","Black","87","385,200","12","54,900"
"Men","Mixed","85","189,200","15","33,500"
"Men","White","90","12,055,800","10","1,373,800"
"Men","Other","84","229,100","16","42,800"
"Women","All","64","9,169,500","36","5,220,000"
"Women","Asian","66","626,800","34","319,600"
"Women","Black","65","344,800","35","181,700"
"Women","Mixed","69","153,400","31","69,000"
"Women","White","63","7,888,700","37","4,571,000"
"Women","Other","66","147,700","34","75,400"
