"Employment_type","Ethnicity","%","Number"
"Full-Time","All","77","23,090,600"
"Full-Time","Asian","78","1,681,600"
"Full-Time","Indian","82","775,700"
"Full-Time","Pakistani and Bangladeshi","69","444,100"
"Full-Time","Any Other Asian Background","80","461,800"
"Full-Time","Black","75","730,000"
"Full-Time","Mixed","77","342,600"
"Full-Time","White","77","19,944,500"
"Full-Time","White British","76","17,894,200"
"Full-Time","White Other","82","2,050,200"
"Full-Time","Other","76","376,800"
"Part-Time","All","23","6,894,900"
"Part-Time","Asian","22","486,100"
"Part-Time","Indian","18","166,700"
"Part-Time","Pakistani and Bangladeshi","31","200,800"
"Part-Time","Any Other Asian Background","20","118,600"
"Part-Time","Black","24","236,600"
"Part-Time","Mixed","23","102,500"
"Part-Time","White","23","5,944,800"
"Part-Time","White British","24","5,507,300"
"Part-Time","White Other","18","437,500"
"Part-Time","Other","24","118,200"
