"Measure","Employment_type","Ethnicity","Ethnicity_type","Time","Time_type","Region","Sex","Value","Value_type","Confidence_interval","Numerator","Denominator","Samp_size"
"Employment Type","Full-Time","All","All","2004","Year","All","All","75.4","%","0.2","20391100","27057900","228518"
"Employment Type","Full-Time","All","All","2004","Year","All","Men","90.8","%","0.2","13249500","14595800","119040"
"Employment Type","Full-Time","All","All","2004","Year","All","Women","57.3","%","0.3","7141500","12462100","109478"
"Employment Type","Full-Time","All","All","2004","Year","East Midlands","All","74.6","%","0.6","1503300","2015400","18565"
"Employment Type","Full-Time","All","All","2004","Year","East Midlands","Men","91.4","%","0.6","997700","1091200","9844"
"Employment Type","Full-Time","All","All","2004","Year","East Midlands","Women","54.7","%","1","505600","924200","8721"
"Employment Type","Full-Time","All","All","2004","Year","East Of England","All","75.5","%","0.6","2013800","2667300","21825"
"Employment Type","Full-Time","All","All","2004","Year","East Of England","Men","92","%","0.5","1331500","1447500","11619"
"Employment Type","Full-Time","All","All","2004","Year","East Of England","Women","55.9","%","1","682300","1219800","10206"
"Employment Type","Full-Time","All","All","2004","Year","London","All","79.7","%","0.7","2737400","3433700","12654"
"Employment Type","Full-Time","All","All","2004","Year","London","Men","89.7","%","0.7","1707800","1903800","6623"
"Employment Type","Full-Time","All","All","2004","Year","London","Women","67.3","%","1.2","1029700","1529900","6031"
"Employment Type","Full-Time","All","All","2004","Year","North East","All","75.1","%","0.7","828700","1103800","14216"
"Employment Type","Full-Time","All","All","2004","Year","North East","Men","90.8","%","0.7","533700","587500","7293"
"Employment Type","Full-Time","All","All","2004","Year","North East","Women","57.1","%","1.2","295000","516300","6923"
"Employment Type","Full-Time","All","All","2004","Year","North West","All","76.2","%","0.5","2342600","3075400","26985"
"Employment Type","Full-Time","All","All","2004","Year","North West","Men","91.6","%","0.5","1506400","1644800","13932"
"Employment Type","Full-Time","All","All","2004","Year","North West","Women","58.4","%","0.8","836200","1430600","13053"
"Employment Type","Full-Time","All","All","2004","Year","Scotland","All","75.4","%","0.5","1801500","2388900","24323"
"Employment Type","Full-Time","All","All","2004","Year","Scotland","Men","90.7","%","0.5","1133200","1249000","12267"
"Employment Type","Full-Time","All","All","2004","Year","Scotland","Women","58.6","%","0.9","668300","1139900","12056"
"Employment Type","Full-Time","All","All","2004","Year","South East","All","74.2","%","0.5","2946500","3971900","32605"
"Employment Type","Full-Time","All","All","2004","Year","South East","Men","90.4","%","0.4","1940300","2145500","17210"
"Employment Type","Full-Time","All","All","2004","Year","South East","Women","55.1","%","0.8","1006100","1826400","15395"
"Employment Type","Full-Time","All","All","2004","Year","South West","All","72.1","%","0.6","1707500","2369200","23425"
"Employment Type","Full-Time","All","All","2004","Year","South West","Men","89.4","%","0.5","1133900","1267800","12158"
"Employment Type","Full-Time","All","All","2004","Year","South West","Women","52.1","%","0.9","573600","1101400","11267"
"Employment Type","Full-Time","All","All","2004","Year","Wales","All","74.8","%","0.6","962400","1286700","19209"
"Employment Type","Full-Time","All","All","2004","Year","Wales","Men","90.9","%","0.6","624900","687400","9775"
"Employment Type","Full-Time","All","All","2004","Year","Wales","Women","56.3","%","1","337500","599300","9434"
"Employment Type","Full-Time","All","All","2004","Year","West Midlands","All","75.5","%","0.6","1824800","2417500","19057"
"Employment Type","Full-Time","All","All","2004","Year","West Midlands","Men","91.3","%","0.6","1204100","1319500","10088"
"Employment Type","Full-Time","All","All","2004","Year","West Midlands","Women","56.5","%","1","620700","1098100","8969"
"Employment Type","Full-Time","All","All","2004","Year","Yorkshire And The Humber","All","74","%","0.7","1722600","2328000","15654"
"Employment Type","Full-Time","All","All","2004","Year","Yorkshire And The Humber","Men","90.7","%","0.6","1136100","1251900","8231"
"Employment Type","Full-Time","All","All","2004","Year","Yorkshire And The Humber","Women","54.5","%","1.1","586600","1076100","7423"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","All","All","76","%","3.4","188400","247800","1504"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","All","Men","83.8","%","4.1","113300","135200","758"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","All","Women","66.7","%","5.3","75100","112500","746"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","East Midlands","All","84.3","%","10.9","10800","12800","106"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","East Midlands","Men","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","East Midlands","Women","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","East Of England","All","77.2","%","10.1","15800","20400","165"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","East Of England","Men","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","East Of England","Women","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","London","All","75.2","%","6.8","81700","108500","391"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","London","Men","83.5","%","8.1","50500","60500","201"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","London","Women","64.9","%","10.7","31200","48000","190"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","North East","All","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","North East","Men","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","North East","Women","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","North West","All","79.4","%","11.5","12700","16000","119"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","North West","Men","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","North West","Women","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","Scotland","All","?","%","?","?","?","?"
"Employment Type","Full-Time","Any Other Asian Background","Detailed","2004","Year","Scotland","Men","?","%","?","?","?","?"
