"Sex","Ethnicity","% Permanent","Number Permanent","% Temporary","Number Temporary"
"Men","All","95","12,543,900","5","641,300"
"Men","Asian","94","951,100","6","63,700"
"Men","Black","89","337,700","11","40,500"
"Men","Mixed","93","183,700","6","12,700"
"Men","White","96","10,861,100","4","505,000"
"Men","Other","91","201,100","9","19,500"
"Women","All","94","12,199,000","6","797,600"
"Women","Asian","91","790,100","9","75,600"
"Women","Black","88","437,100","11","56,200"
"Women","Mixed","88","172,800","12","22,600"
"Women","White","94","10,610,200","6","627,300"
"Women","Other","93","180,500","8","14,600"
