"Employment_type","Ethnicity","%","Number"
"Permanent","Asian","93","1,741,200"
"Permanent","Indian","92","776,000"
"Permanent","Pakistani and Bangladeshi","91","490,100"
"Permanent","Asian Other","95","475,200"
"Permanent","Black","89","774,800"
"Permanent","Mixed","91","356,500"
"Permanent","White","95","21,471,200"
"Permanent","White British","95","19,500,200"
"Permanent","White Other","94","1,971,100"
"Permanent","Other","91","381,600"
"Permanent","All","94","24,742,800"
"Temporary","Asian","7","139,300"
"Temporary","Indian","8","63,200"
"Temporary","Pakistani and Bangladeshi","9","49,200"
"Temporary","Asian Other","5","27,000"
"Temporary","Black","11","96,600"
"Temporary","Mixed","9","35,300"
"Temporary","White","5","1,132,300"
"Temporary","White British","5","1,003,700"
"Temporary","White Other","6","128,500"
"Temporary","Other","8","34,100"
"Temporary","All","6","1,438,900"
