"Measure_Type","Employment_type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","Value_type","confidence_interval","Numerator","Denominator","Samp_size"
"Permanent and temporary employment","Temporary","All","All","2004","Year","All","All","5.8","%","0.1","1368900","23595700","143630"
"Permanent and temporary employment","Permanent","All","All","2004","Year","All","All","94.2","%","0.1","22217100","23595700","143630"
"Permanent and temporary employment","Temporary","All","All","2004","Year","All","Men","5.2","%","0.2","626900","12119400","70528"
"Permanent and temporary employment","Permanent","All","All","2004","Year","All","Men","94.8","%","0.2","11487800","12119400","70528"
"Permanent and temporary employment","Temporary","All","All","2004","Year","All","Women","6.5","%","0.2","742000","11476300","73102"
"Permanent and temporary employment","Permanent","All","All","2004","Year","All","Women","93.5","%","0.2","10729200","11476300","73102"
"Permanent and temporary employment","Temporary","All","All","2004","Year","East Midlands","All","5.3","%","0.5","92900","1763800","7082"
"Permanent and temporary employment","Permanent","All","All","2004","Year","East Midlands","All","94.7","%","0.5","1670100","1763800","7082"
"Permanent and temporary employment","Temporary","All","All","2004","Year","East Midlands","Men","4.7","%","0.7","42400","911700","3558"
"Permanent and temporary employment","Permanent","All","All","2004","Year","East Midlands","Men","95.3","%","0.7","869200","911700","3558"
"Permanent and temporary employment","Temporary","All","All","2004","Year","East Midlands","Women","5.9","%","0.8","50500","852200","3524"
"Permanent and temporary employment","Permanent","All","All","2004","Year","East Midlands","Women","94","%","0.8","800900","852200","3524"
"Permanent and temporary employment","Temporary","All","All","2004","Year","East of England","All","4.8","%","0.4","110600","2303200","9785"
"Permanent and temporary employment","Permanent","All","All","2004","Year","East of England","All","95.2","%","0.4","2192500","2303200","9785"
"Permanent and temporary employment","Temporary","All","All","2004","Year","East of England","Men","4.3","%","0.6","50600","1184200","4914"
"Permanent and temporary employment","Permanent","All","All","2004","Year","East of England","Men","95.7","%","0.6","1133700","1184200","4914"
"Permanent and temporary employment","Temporary","All","All","2004","Year","East of England","Women","5.4","%","0.6","60000","1119000","4871"
"Permanent and temporary employment","Permanent","All","All","2004","Year","East of England","Women","94.6","%","0.6","1058900","1119000","4871"
"Permanent and temporary employment","Temporary","All","All","2004","Year","London","All","6.7","%","0.5","194500","2886700","10597"
"Permanent and temporary employment","Permanent","All","All","2004","Year","London","All","93.2","%","0.5","2690300","2886700","10597"
"Permanent and temporary employment","Temporary","All","All","2004","Year","London","Men","5.7","%","0.6","87400","1523200","5253"
"Permanent and temporary employment","Permanent","All","All","2004","Year","London","Men","94.2","%","0.6","1434400","1523200","5253"
"Permanent and temporary employment","Temporary","All","All","2004","Year","London","Women","7.9","%","0.7","107100","1363500","5344"
"Permanent and temporary employment","Permanent","All","All","2004","Year","London","Women","92.1","%","0.7","1255900","1363500","5344"
"Permanent and temporary employment","Temporary","All","All","2004","Year","North East","All","6.9","%","0.5","68900","1003100","9586"
"Permanent and temporary employment","Permanent","All","All","2004","Year","North East","All","93.1","%","0.5","933800","1003100","9586"
