"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","6","6","6","6","5","6","6","6","6","6","6","6","6","6","5","5","5","6"
"Asian","9","9","9","8","8","8","9","-","9","9","8","8","7","8","7","6","7","7"
"Asian Other","8","11","9","8","9","11","10","-","9","8","9","8","8","8","8","7","7","5"
"Black","9","10","8","8","8","6","9","-","10","9","10","11","10","12","11","9","9","11"
"Indian","8","9","10","7","7","8","9","-","8","9","7","7","6","7","6","5","6","8"
"Mixed","9","7","7","10","9","10","9","-","11","13","10","10","9","10","8","8","9","9"
"Other","13","11","11","11","11","11","7","-","10","8","9","9","10","9","8","9","7","8"
"Pakistani and Bangladeshi","9","8","9","9","9","7","10","-","10","8","8","9","8","8","8","7","7","9"
"White","6","5","5","5","5","5","6","-","6","6","6","6","6","5","5","5","5","5"
"White British","5","5","5","5","5","5","5","-","6","6","6","5","5","5","5","5","5","5"
"White Other","10","9","9","8","8","8","8","-","9","9","8","9","9","8","8","7","6","6"
