"Age Bracket","Ethnicity","%","Number of respondents"
"All","All","12","24,747"
"All","Asian","23","1,901"
"All","Black","24","701"
"All","Mixed","18","271"
"All","White","11","21,122"
"All","White British","11","19,963"
"All","White other","13","1,159"
"All","Other","31","142"
"Children","All","18","5,305"
"Children","Asian","35","677"
"Children","Black","29","214"
"Children","Mixed","?","76"
"Children","White","16","4,180"
"Children","White British","16","3,903"
"Children","White other","20","277"
"Children","Other","?","48"
"Working-age adults","All","11","13,468"
"Working-age adults","Asian","18","1,088"
"Working-age adults","Black","22","401"
"Working-age adults","Mixed","18","174"
"Working-age adults","White","10","11,350"
"Working-age adults","White British","10","10,705"
"Working-age adults","White other","10","645"
"Working-age adults","Other","?","79"
"Pensioners","All","10","5,974"
"Pensioners","Asian","9","136"
"Pensioners","Black","?","86"
"Pensioners","Mixed","?","21"
"Pensioners","White","11","5,592"
"Pensioners","White British","10","5,355"
"Pensioners","White other","13","237"
"Pensioners","Other","?","15"
