"Age Bracket","Ethnicity","%","Number of respondents"
"All","All","9","24,747"
"All","Asian","18","1,901"
"All","Black","13","701"
"All","Mixed","6","271"
"All","White","9","21,122"
"All","White British","9","19,963"
"All","White other","8","1,159"
"All","Other","11","142"
"Children","All","12","5,305"
"Children","Asian","28","677"
"Children","Black","18","214"
"Children","Mixed","?","76"
"Children","White","10","4,180"
"Children","White British","10","3,903"
"Children","White other","13","277"
"Children","Other","?","48"
"Working-age adults","All","7","13,468"
"Working-age adults","Asian","13","1,088"
"Working-age adults","Black","12","401"
"Working-age adults","Mixed","8","174"
"Working-age adults","White","7","11,350"
"Working-age adults","White British","7","10,705"
"Working-age adults","White other","5","645"
"Working-age adults","Other","?","79"
"Pensioners","All","11","5,974"
"Pensioners","Asian","12","136"
"Pensioners","Black","?","86"
"Pensioners","Mixed","?","21"
"Pensioners","White","11","5,592"
"Pensioners","White British","11","5,355"
"Pensioners","White other","10","237"
"Pensioners","Other","?","15"
