"measure","Ethnicity","%","Number of Respondents "
"Before Housing Costs","All","6","71,488"
"Before Housing Costs","Asian","11","4,668"
"Before Housing Costs","Black","10","1,897"
"Before Housing Costs","Mixed","9","770"
"Before Housing Costs","White","6","61,641"
"Before Housing Costs","White British","6","58,288"
"Before Housing Costs","White other","6","3,353"
"Before Housing Costs","Other","8","360"
"After Housing Costs","All","7","69,481"
"After Housing Costs","Asian","14","4,307"
"After Housing Costs","Black","15","1,648"
"After Housing Costs","Mixed","14","687"
"After Housing Costs","White","7","60,427"
"After Housing Costs","White British","7","57,183"
"After Housing Costs","White other","7","3,244"
"After Housing Costs","Other","8","297"
