"measure","Ethnicity","% ","Number of Respondents "
"Before Housing Costs","All","37","12,815"
"Before Housing Costs","Asian","30","2,138"
"Before Housing Costs","Black","43","576"
"Before Housing Costs","Mixed","44","167"
"Before Housing Costs","White","37","9,570"
"Before Housing Costs","White British","37","9,042"
"Before Housing Costs","White other","43","528"
"Before Housing Costs","Other","22","106"
"After Housing Costs","All","34","14,822"
"After Housing Costs","Asian","28","2,499"
"After Housing Costs","Black","32","825"
"After Housing Costs","Mixed","35","250"
"After Housing Costs","White","34","10,784"
"After Housing Costs","White British","34","10,147"
"After Housing Costs","White other","37","637"
"After Housing Costs","Other","9","169"
