"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","71,488","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","61,641","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","58,288","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","3,353","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","770","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","4,668","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","1,897","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","360","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","12,815","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","9,570","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","9,042","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","43","528","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","44","167","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","2,138","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","43","576","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","106","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","69,481","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","60,427","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","57,183","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","3,244","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","687","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","4,307","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,648","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","297","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","14,822","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","10,784","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","10,147","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","637","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","250","","","",""
