"Ethnicity","Highest Qualification Held",""
"All","All","15"
"All","Level 4 And Above","8"
"All","Level 3","12"
"All","Level 2","18"
"All","Below Level 2","20"
"All","Other Qualifications","15"
"All","No Qualifications","43"
"Asian","All","11"
"Asian","Level 4 And Above","5"
"Asian","Level 3","12"
"Asian","Level 2","23"
"Asian","Below Level 2","10"
"Asian","Other Qualifications","10"
"Asian","No Qualifications","30"
"Black","All","17"
"Black","Level 4 And Above","6"
"Black","Level 3","?"
"Black","Level 2","?"
"Black","Below Level 2","?"
"Black","Other Qualifications","?"
"Black","No Qualifications","?"
"Mixed","All","20"
"Mixed","Level 4 And Above","7"
"Mixed","Level 3","?"
"Mixed","Level 2","?"
"Mixed","Below Level 2","?"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","15"
"White","Level 4 And Above","8"
"White","Level 3","12"
"White","Level 2","18"
"White","Below Level 2","20"
"White","Other Qualifications","16"
"White","No Qualifications","44"
"Other","All","13"
"Other","Level 4 And Above","9"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other Qualifications","16"
"Other","No Qualifications","?"
