"Ethnicity","Highest Qualification Held",""
"All","All","23"
"All","Below Level 2","35"
"All","Level 2","29"
"All","Level 3","19"
"All","Level 4 And Above","14"
"All","No Qualifications","61"
"All","Other Qualifications","31"
"Asian","All","32"
"Asian","Below Level 2","50"
"Asian","Level 2","51"
"Asian","Level 3","25"
"Asian","Level 4 And Above","18"
"Asian","No Qualifications","70"
"Asian","Other Qualifications","41"
"Black","All","24"
"Black","Below Level 2","?"
"Black","Level 2","32"
"Black","Level 3","20"
"Black","Level 4 And Above","16"
"Black","No Qualifications","?"
"Black","Other Qualifications","31"
"Mixed","All","23"
"Mixed","Below Level 2","?"
"Mixed","Level 2","?"
"Mixed","Level 3","?"
"Mixed","Level 4 And Above","10"
"Mixed","No Qualifications","?"
"Mixed","Other Qualifications","?"
"White","All","22"
"White","Below Level 2","33"
"White","Level 2","28"
"White","Level 3","18"
"White","Level 4 And Above","13"
"White","No Qualifications","59"
"White","Other Qualifications","28"
"Other","All","29"
"Other","Below Level 2","?"
"Other","Level 2","?"
"Other","Level 3","?"
"Other","Level 4 And Above","20"
"Other","No Qualifications","?"
"Other","Other Qualifications","39"
