"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Gender Type","Age","Age Bracket Type","Highest Qualification Held","Qualification_type","Value","Value_type","Numerator","Denominator","Upper 95%","Lower 95%"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 And Above","National Qualifications Framework (NQF) level","7.3","%","448840","6153963","7.6","7"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","10.7","%","365970","3421565","11.2","10.2"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","14.2","%","447496","3141463","14.8","13.7"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","14.9","%","317014","2133891","15.6","14.2"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other Qualifications","National Qualifications Framework (NQF) level","14.1","%","196716","1390690","15","13.3"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No Qualifications","National Qualifications Framework (NQF) level","38.8","%","682567","1761061","39.8","37.7"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","31.6","%","18749","59395","37.2","25.9"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","13.7","%","2477352","18062028","13.9","13.5"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 And Above","National Qualifications Framework (NQF) level","15.6","%","1038673","6660572","16","15.2"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","18.7","%","525867","2809257","19.4","18.1"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","26.3","%","890020","3383923","27","25.6"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","35","%","830640","2374146","35.8","34.1"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other Qualifications","National Qualifications Framework (NQF) level","36.2","%","373041","1030798","37.5","34.9"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No Qualifications","National Qualifications Framework (NQF) level","62.5","%","1232850","1972938","63.4","61.6"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","42.5","%","24091","56620","48.3","36.8"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","26.9","%","4915182","18288254","27.2","26.6"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Level 4 And Above","National Qualifications Framework (NQF) level","11.6","%","1487513","12814535","11.9","11.4"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","14.3","%","891837","6230822","14.7","13.9"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","20.5","%","1337516","6525386","20.9","20.1"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","25.5","%","1147654","4508037","26","24.9"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other Qualifications","National Qualifications Framework (NQF) level","23.5","%","569757","2421488","24.3","22.8"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No Qualifications","National Qualifications Framework (NQF) level","51.3","%","1915417","3733999","52","50.6"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","36.9","%","42840","116015","41","32.9"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales And Scotland","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","20.3","%","7392534","36350282","20.5","20.1"
"% of individuals inactive","All","ONS 5+1","2013","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 And Above","National Qualifications Framework (NQF) level","7","%","443299","6307110","7.3","6.7"
"% of individuals inactive","All","ONS 5+1","2013","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","10.8","%","368300.5","3413364","11.3","10.3"
"% of individuals inactive","All","ONS 5+1","2013","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","13.6","%","426627.5","3131888","14.2","13.1"
"% of individuals inactive","All","ONS 5+1","2013","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","15.5","%","324874","2102185","16.2","14.7"
"% of individuals inactive","All","ONS 5+1","2013","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other Qualifications","National Qualifications Framework (NQF) level","13","%","181667","1393229","13.8","12.2"
"% of individuals inactive","All","ONS 5+1","2013","Year","England, Wales And Scotland","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No Qualifications","National Qualifications Framework (NQF) level","38.6","%","670177","1734857","39.7","37.6"
