"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Gender type","Age","Age Bracket Type","Highest qualification held","Qualification_type","Value","Value_type","Numerator","Denominator","upper 95%","lower 95%"
"% of individuals inactive","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","7.60%","%","399225","5258672","7.90%","7.30%"
"% of individuals inactive","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","4.50%","%","2970","65297","8.80%","0.30%"
"% of individuals inactive","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","4.20%","%","20270","485907","5.60%","2.70%"
"% of individuals inactive","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","6.50%","%","11125","172195","9.50%","3.40%"
"% of individuals inactive","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","8.60%","%","14440","167569","12%","5.20%"
"% of individuals inactive","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","5.50%","%","48805","890968","6.70%","4.30%"
"% of individuals inactive","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","7.30%","%","448840","6153963","7.60%","7%"
"% of individuals inactive","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","10.60%","%","339523.5","3197019","11.10%","10.10%"
"% of individuals inactive","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","15.10%","%","3961","26185.5","26.10%","4.10%"
"% of individuals inactive","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","10.30%","%","11788","114614.5","14.70%","5.90%"
"% of individuals inactive","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","10.50%","%","5564.5","52958.5","17.40%","3.60%"
"% of individuals inactive","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","16.10%","%","4722","29417.5","27.10%","5%"
"% of individuals inactive","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","11.70%","%","26035.5","223176","15.10%","8.30%"
"% of individuals inactive","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","10.70%","%","365970","3421565","11.20%","10.20%"
"% of individuals inactive","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","14.10%","%","406804.5","2892278","14.60%","13.50%"
"% of individuals inactive","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","20.40%","%","5942","29181.5","32.20%","8.60%"
"% of individuals inactive","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","17.20%","%","22106","128664.5","22.40%","12%"
"% of individuals inactive","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","13%","%","7972.5","61185.5","20.20%","5.90%"
"% of individuals inactive","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","15.20%","%","4482","29454.5","25.90%","4.60%"
"% of individuals inactive","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","16.30%","%","40502.5","248486","20%","12.60%"
"% of individuals inactive","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","14.20%","%","447496","3141463","14.80%","13.70%"
"% of individuals inactive","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","14.60%","%","285463","1956937","15.30%","13.90%"
"% of individuals inactive","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","15%","%","13512","90213","20.60%","9.30%"
"% of individuals inactive","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","17.50%","%","8731","49992","26.60%","8.30%"
"% of individuals inactive","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","17.80%","%","31551","176954","22.30%","13.30%"
"% of individuals inactive","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","14.90%","%","317014","2133891","15.60%","14.20%"
"% of individuals inactive","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","13.70%","%","153615","1118127","14.60%","12.80%"
"% of individuals inactive","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","14.80%","%","21563","145793","19.20%","10.30%"
"% of individuals inactive","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","13.20%","%","6772","51121","20.90%","5.60%"
"% of individuals inactive","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","17.20%","%","11099","64382","24.70%","9.80%"
"% of individuals inactive","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","15.50%","%","42029","270621","18.90%","12.10%"
"% of individuals inactive","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","14.10%","%","196716","1390690","15%","13.30%"
"% of individuals inactive","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","39.70%","%","584071","1470793","40.80%","38.60%"
"% of individuals inactive","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
"% of individuals inactive","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","33.70%","%","55757","165609","39.20%","28.10%"
"% of individuals inactive","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","38.80%","%","20274","52292","49.70%","27.90%"
"% of individuals inactive","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","28.10%","%","15834","56348","37.60%","18.60%"
"% of individuals inactive","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","34%","%","98435","289351","38.30%","29.70%"
"% of individuals inactive","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?"
