"Age","Ethnicity","%","Number of people economically inactive"
"16-24","All","41","2,709,400"
"16-24","Asian","55","321,900"
"16-24","Indian","59","92,900"
"16-24","Pakistani, Bangladeshi","53","146,400"
"16-24","Asian Other","53","82,500"
"16-24","Black","56","164,100"
"16-24","Mixed","53","129,200"
"16-24","White","38","2,031,400"
"16-24","White British","37","1,892,300"
"16-24","White Other","46","139,100"
"16-24","Other","56","61,300"
"25-49","All","12","2,589,600"
"25-49","Asian","18","371,200"
"25-49","Indian","11","86,600"
"25-49","Pakistani, Bangladeshi","28","189,200"
"25-49","Asian Other","18","95,500"
"25-49","Black","17","130,100"
"25-49","Mixed","16","56,000"
"25-49","White","11","1,923,200"
"25-49","White British","11","1,712,600"
"25-49","White Other","10","210,500"
"25-49","Other","21","101,000"
"50-64","All","27","3,367,400"
"50-64","Asian","26","140,200"
"50-64","Indian","20","45,200"
"50-64","Pakistani, Bangladeshi","37","57,300"
"50-64","Asian Other","23","37,700"
"50-64","Black","21","78,100"
"50-64","Mixed","20","19,300"
"50-64","White","27","3,084,500"
"50-64","White British","27","2,972,300"
"50-64","White Other","20","112,200"
"50-64","Other","29","42,400"
"All","All","22","8,666,400"
"All","Asian","26","833,300"
"All","Indian","19","224,700"
"All","Pakistani, Bangladeshi","35","392,900"
"All","Asian Other","26","215,700"
"All","Black","26","372,300"
"All","Mixed","29","204,500"
"All","White","21","7,039,100"
"All","White British","21","6,577,300"
"All","White Other","15","461,800"
"All","Other","28","204,700"
