"","All","","Other Ethnic Groups","","White",""
"Region","%","Number of people economically inactive","%","Number of people economically inactive","%","Number of people economically inactive"
"All","22","8,666,400","27","1,614,900","21","7,039,100"
"East Midlands","22","657,800","28","102,700","22","554,200"
"East Of England","19","716,500","23","101,400","18","614,800"
"London","21","1,263,000","26","622,500","17","638,500"
"North East","25","409,500","36","33,200","25","376,300"
"North West","24","1,051,300","32","169,700","22","881,300"
"Scotland","24","814,800","34","62,100","23","750,200"
"South East","19","1,070,800","23","140,300","19","927,200"
"South West","20","665,700","21","39,900","20","624,400"
"Wales","24","448,800","27","24,800","24","423,700"
"West Midlands","22","808,000","27","200,500","21","606,900"
"Yorkshire And The Humber","23","760,000","31","117,800","22","641,400"
