"","All","","Men","","Women",""
"Ethnicity","%","Number of people economically inactive","%","Number of people economically inactive","%","Number of people economically inactive"
"All","22","8,666,400","18","3,590,600","25","5,075,800"
"Asian","26","833,300","17","275,000","35","558,300"
"Indian","19","224,700","13","80,300","25","144,500"
"Pakistani, Bangladeshi","35","392,900","20","111,900","51","280,900"
"Asian Other","26","215,700","21","82,800","30","132,900"
"Black","26","372,300","23","142,100","28","230,300"
"Mixed","29","204,500","27","90,700","31","113,900"
"White","21","7,039,100","18","3,001,600","24","4,037,500"
"White British","21","6,577,300","18","2,827,000","24","3,750,200"
"White Other","15","461,800","12","174,500","18","287,300"
"Other","28","204,700","20","73,900","35","130,800"
