"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","24","24","23","23","23","23","24","24","23","23","23","22","22","22","22","21","21","22"
"Asian","37","37","36","36","35","34","34","","33","33","32","32","32","31","30","31","27","26"
"Indian","27","26","25","26","26","25","24","","23","24","24","24","23","22","21","21","19","19"
"Pakistani, Bangladeshi","49","49","48","48","46","44","44","","42","41","40","40","39","39","38","39","37","35"
"Asian Other","36","36","34","33","31","32","36","","34","36","33","32","34","32","32","31","26","26"
"Black","31","30","28","28","28","29","28","","27","26","27","26","25","26","27","25","25","26"
"Mixed","29","30","27","28","31","30","28","","29","26","28","28","28","27","28","26","25","29"
"White","23","22","22","22","22","22","23","","22","22","21","21","21","20","20","20","20","21"
"White British","22","22","22","22","22","22","23","","22","22","22","21","21","21","21","20","21","21"
"White Other","25","23","21","21","21","21","21","","20","19","19","17","17","16","15","14","14","15"
"Other","38","36","36","36","35","36","35","","35","35","37","35","34","33","34","32","30","28"
