"","16-24","","25-49","","50-64","","All",""
"Ethnicity","%","Number of people economically inactive","%","Number of people economically inactive","%","Number of people economically inactive","%","Number of people economically inactive"
"All","41","2,709,400","12","2,589,600","27","3,367,400","22","8,666,400"
"Asian","55","321,900","18","371,200","26","140,200","26","833,300"
"Indian","59","92,900","11","86,600","20","45,200","19","224,700"
"Pakistani, Bangladeshi","53","146,400","28","189,200","37","57,300","35","392,900"
"Asian Other","53","82,500","18","95,500","23","37,700","26","215,700"
"Black","56","164,100","17","130,100","21","78,100","26","372,300"
"Mixed","53","129,200","16","56,000","20","19,300","29","204,500"
"White","38","2,031,400","11","1,923,200","27","3,084,500","21","7,039,100"
"White British","37","1,892,300","11","1,712,600","27","2,972,300","21","6,577,300"
"White Other","46","139,100","10","210,500","20","112,200","15","461,800"
"Other","56","61,300","21","101,000","29","42,400","28","204,700"
