"Ethnicity","Region","%","Number of people economically inactive"
"All","All","22","8,666,400"
"All","East Midlands","22","657,800"
"All","East Of England","19","716,500"
"All","London","21","1,263,000"
"All","North East","25","409,500"
"All","North West","24","1,051,300"
"All","Scotland","24","814,800"
"All","South East","19","1,070,800"
"All","South West","20","665,700"
"All","Wales","24","448,800"
"All","West Midlands","22","808,000"
"All","Yorkshire And The Humber","23","760,000"
"Other Ethnic Groups","All","27","1,614,900"
"Other Ethnic Groups","East Midlands","28","102,700"
"Other Ethnic Groups","East Of England","23","101,400"
"Other Ethnic Groups","London","26","622,500"
"Other Ethnic Groups","North East","36","33,200"
"Other Ethnic Groups","North West","32","169,700"
"Other Ethnic Groups","Scotland","34","62,100"
"Other Ethnic Groups","South East","23","140,300"
"Other Ethnic Groups","South West","21","39,900"
"Other Ethnic Groups","Wales","27","24,800"
"Other Ethnic Groups","West Midlands","27","200,500"
"Other Ethnic Groups","Yorkshire And The Humber","31","117,800"
"White","All","21","7,039,100"
"White","East Midlands","22","554,200"
"White","East Of England","18","614,800"
"White","London","17","638,500"
"White","North East","25","376,300"
"White","North West","22","881,300"
"White","Scotland","23","750,200"
"White","South East","19","927,200"
"White","South West","20","624,400"
"White","Wales","24","423,700"
"White","West Midlands","21","606,900"
"White","Yorkshire And The Humber","22","641,400"
