"Sex","Ethnicity","%","Number of people economically inactive"
"All","All","22","8,666,400"
"All","Asian","26","833,300"
"All","Indian","19","224,700"
"All","Pakistani, Bangladeshi","35","392,900"
"All","Asian Other","26","215,700"
"All","Black","26","372,300"
"All","Mixed","29","204,500"
"All","White","21","7,039,100"
"All","White British","21","6,577,300"
"All","White Other","15","461,800"
"All","Other","28","204,700"
"Men","All","18","3,590,600"
"Men","Asian","17","275,000"
"Men","Indian","13","80,300"
"Men","Pakistani, Bangladeshi","20","111,900"
"Men","Asian Other","21","82,800"
"Men","Black","23","142,100"
"Men","Mixed","27","90,700"
"Men","White","18","3,001,600"
"Men","White British","18","2,827,000"
"Men","White Other","12","174,500"
"Men","Other","20","73,900"
"Women","All","25","5,075,800"
"Women","Asian","35","558,300"
"Women","Indian","25","144,500"
"Women","Pakistani, Bangladeshi","51","280,900"
"Women","Asian Other","30","132,900"
"Women","Black","28","230,300"
"Women","Mixed","31","113,900"
"Women","White","24","4,037,500"
"Women","White British","24","3,750,200"
"Women","White Other","18","287,300"
"Women","Other","35","130,800"
