"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","32","32","33","33","34","35","38","37","37","38","39","37","38","38","39","39","39","41"
"Asian","53","54","51","54","52","55","58","","56","57","60","57","60","58","56","58","56","55"
"Indian","46","49","44","45","48","51","51","","46","54","58","54","59","49","52","56","54","59"
"Pakistani, Bangladeshi","56","55","52","56","52","54","56","","56","52","55","53","56","58","53","56","59","53"
"Asian Other","57","60","60","62","59","65","70","","68","69","69","67","68","65","65","64","55","53"
"Black","47","50","48","49","53","52","55","","53","53","54","56","50","56","57","53","55","56"
"Mixed","39","41","38","39","45","47","45","","42","38","43","46","48","45","46","48","46","53"
"White","29","29","30","31","31","32","34","","34","35","35","34","35","35","35","35","36","38"
"White British","29","29","30","31","31","32","34","","34","34","35","34","35","34","35","35","36","37"
"White Other","36","30","27","31","30","35","37","","44","42","41","36","36","40","40","35","39","46"
"Other","55","53","53","55","50","60","61","","58","63","65","59","61","63","64","63","58","56"
