"Time","Ethnicity","%"
"2004","All","32"
"2004","Asian","53"
"2004","Indian","46"
"2004","Pakistani, Bangladeshi","56"
"2004","Asian Other","57"
"2004","Black","47"
"2004","Mixed","39"
"2004","White","29"
"2004","White British","29"
"2004","White Other","36"
"2004","Other","55"
"2005","All","32"
"2005","Asian","54"
"2005","Indian","49"
"2005","Pakistani, Bangladeshi","55"
"2005","Asian Other","60"
"2005","Black","50"
"2005","Mixed","41"
"2005","White","29"
"2005","White British","29"
"2005","White Other","30"
"2005","Other","53"
"2006","All","33"
"2006","Asian","51"
"2006","Indian","44"
"2006","Pakistani, Bangladeshi","52"
"2006","Asian Other","60"
"2006","Black","48"
"2006","Mixed","38"
"2006","White","30"
"2006","White British","30"
"2006","White Other","27"
"2006","Other","53"
"2007","All","33"
"2007","Asian","54"
"2007","Indian","45"
"2007","Pakistani, Bangladeshi","56"
"2007","Asian Other","62"
"2007","Black","49"
"2007","Mixed","39"
"2007","White","31"
"2007","White British","31"
"2007","White Other","31"
"2007","Other","55"
"2008","All","34"
"2008","Asian","52"
"2008","Indian","48"
"2008","Pakistani, Bangladeshi","52"
"2008","Asian Other","59"
"2008","Black","53"
"2008","Mixed","45"
"2008","White","31"
"2008","White British","31"
"2008","White Other","30"
"2008","Other","50"
"2009","All","35"
"2009","Asian","55"
"2009","Indian","51"
"2009","Pakistani, Bangladeshi","54"
"2009","Asian Other","65"
"2009","Black","52"
"2009","Mixed","47"
"2009","White","32"
"2009","White British","32"
"2009","White Other","35"
"2009","Other","60"
"2010","All","38"
"2010","Asian","58"
"2010","Indian","51"
"2010","Pakistani, Bangladeshi","56"
"2010","Asian Other","70"
"2010","Black","55"
"2010","Mixed","45"
"2010","White","34"
"2010","White British","34"
"2010","White Other","37"
"2010","Other","61"
"2011","All","37"
"2011","Asian",""
"2011","Indian",""
"2011","Pakistani, Bangladeshi",""
"2011","Asian Other",""
"2011","Black",""
"2011","Mixed",""
"2011","White",""
"2011","White British",""
"2011","White Other",""
"2011","Other",""
"2012","All","37"
"2012","Asian","56"
"2012","Indian","46"
"2012","Pakistani, Bangladeshi","56"
"2012","Asian Other","68"
"2012","Black","53"
"2012","Mixed","42"
"2012","White","34"
"2012","White British","34"
"2012","White Other","44"
"2012","Other","58"
"2013","All","38"
"2013","Asian","57"
"2013","Indian","54"
"2013","Pakistani, Bangladeshi","52"
"2013","Asian Other","69"
"2013","Black","53"
"2013","Mixed","38"
"2013","White","35"
"2013","White British","34"
"2013","White Other","42"
"2013","Other","63"
"2014","All","39"
"2014","Asian","60"
"2014","Indian","58"
"2014","Pakistani, Bangladeshi","55"
"2014","Asian Other","69"
"2014","Black","54"
"2014","Mixed","43"
"2014","White","35"
"2014","White British","35"
"2014","White Other","41"
"2014","Other","65"
"2015","All","37"
"2015","Asian","57"
"2015","Indian","54"
"2015","Pakistani, Bangladeshi","53"
"2015","Asian Other","67"
"2015","Black","56"
"2015","Mixed","46"
"2015","White","34"
"2015","White British","34"
"2015","White Other","36"
"2015","Other","59"
"2016","All","38"
"2016","Asian","60"
"2016","Indian","59"
"2016","Pakistani, Bangladeshi","56"
"2016","Asian Other","68"
"2016","Black","50"
"2016","Mixed","48"
"2016","White","35"
"2016","White British","35"
"2016","White Other","36"
"2016","Other","61"
"2017","All","38"
"2017","Asian","58"
"2017","Indian","49"
"2017","Pakistani, Bangladeshi","58"
"2017","Asian Other","65"
"2017","Black","56"
"2017","Mixed","45"
"2017","White","35"
"2017","White British","34"
"2017","White Other","40"
"2017","Other","63"
"2018","All","39"
"2018","Asian","56"
"2018","Indian","52"
"2018","Pakistani, Bangladeshi","53"
"2018","Asian Other","65"
"2018","Black","57"
"2018","Mixed","46"
"2018","White","35"
"2018","White British","35"
"2018","White Other","40"
"2018","Other","64"
"2019","All","39"
"2019","Asian","58"
"2019","Indian","56"
"2019","Pakistani, Bangladeshi","56"
"2019","Asian Other","64"
"2019","Black","53"
"2019","Mixed","48"
"2019","White","35"
"2019","White British","35"
"2019","White Other","35"
"2019","Other","63"
"2020","All","39"
"2020","Asian","56"
"2020","Indian","54"
"2020","Pakistani, Bangladeshi","59"
"2020","Asian Other","55"
"2020","Black","55"
"2020","Mixed","46"
"2020","White","36"
"2020","White British","36"
"2020","White Other","39"
"2020","Other","58"
"2021","All","41"
"2021","Asian","55"
"2021","Indian","59"
"2021","Pakistani, Bangladeshi","53"
"2021","Asian Other","53"
"2021","Black","56"
"2021","Mixed","53"
"2021","White","38"
"2021","White British","37"
"2021","White Other","46"
"2021","Other","56"
