"Ethnicity","Highest Qualification Held",""
"All","All","4"
"All","Level 4 And Above","3"
"All","Level 3","3"
"All","Level 2","4"
"All","Below Level 2","6"
"All","Other Qualifications","4"
"All","No Qualifications","6"
"Asian","All","5"
"Asian","Level 4 And Above","4"
"Asian","Level 3","6"
"Asian","Level 2","8"
"Asian","Below Level 2","10"
"Asian","Other Qualifications","4"
"Asian","No Qualifications","10"
"Black","All","6"
"Black","Level 4 And Above","5"
"Black","Level 3","?"
"Black","Level 2","?"
"Black","Below Level 2","?"
"Black","Other Qualifications","?"
"Black","No Qualifications","?"
"Mixed","All","7"
"Mixed","Level 4 And Above","2"
"Mixed","Level 3","?"
"Mixed","Level 2","?"
"Mixed","Below Level 2","?"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","3"
"White","Level 4 And Above","3"
"White","Level 3","3"
"White","Level 2","4"
"White","Below Level 2","5"
"White","Other Qualifications","4"
"White","No Qualifications","6"
"Other","All","5"
"Other","Level 4 And Above","3"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other Qualifications","8"
"Other","No Qualifications","?"
